π	sigma-π
3.71429	nan
3.41964	0.294643
3.36937	0.177386
3.24497	0.176654
3.27154	0.139389
3.2852	0.114629
3.22691	0.113061
3.19197	0.103962
3.21485	0.0944968
3.18356	0.090126
3.20121	0.0834122
3.17519	0.0804699
3.13374	0.0848359
3.13724	0.0786209
3.13921	0.0732183
3.11199	0.0736999
3.09851	0.0705285
3.16094	0.091208
3.14212	0.0883023
3.14461	0.0838079
3.14906	0.0798414
3.14024	0.0766354
3.16563	0.0775034
3.18315	0.0762451
3.18835	0.0733163
3.17884	0.0710786
3.15987	0.0709773
3.15723	0.0684467
3.14819	0.0666593
3.1426	0.0646415
3.1549	0.0637194
3.1489	0.0619869
3.15774	0.0607271
3.15284	0.0591177
3.14774	0.0576299
3.14569	0.0560435
3.13893	0.0549265
3.14095	0.0534997
3.14329	0.0521625
3.147	0.0509768
3.1407	0.0501149
3.15021	0.0498237
3.13519	0.050919
3.13464	0.0497513
3.11942	0.05096
3.13108	0.0511862
3.13223	0.0500986
3.13777	0.0493549
3.13359	0.0485169
3.12796	0.0478695
3.13397	0.0473045
3.13819	0.0465777
3.13337	0.0459436
3.13595	0.0451586
3.12681	0.0452621
3.11627	0.045679
3.11871	0.0449364
3.10699	0.0456834
3.105	0.0449463
3.10847	0.0443268
3.09626	0.0452718
3.09692	0.0445405
3.10615	0.0447884
3.10602	0.0440832
3.11553	0.0444293
3.11757	0.0437983
3.12411	0.0436322
3.12578	0.0430184
3.11683	0.0433258
3.11694	0.0427025
3.11787	0.042107
3.11204	0.0419262
3.10907	0.0414544
3.10406	0.0411955
3.10267	0.0406662
3.11516	0.0420239
3.12046	0.0418128
3.13516	0.0438112
3.13007	0.0435511
3.12521	0.0432778
3.12983	0.0429899
3.12581	0.0426524
3.12857	0.0422257
3.12432	0.0419354
3.12653	0.0414978
3.13297	0.0415143
3.12837	0.0412907
3.12616	0.0408789
3.12432	0.0404585
3.12212	0.0400672
3.1281	0.0400737
3.13057	0.0397123
3.13684	0.0397812
3.13149	0.0397186
3.13273	0.0393181
3.13545	0.0390014
3.13709	0.0386319
3.13806	0.038248
3.13403	0.0380739
3.13824	0.0379262
