Gen	Best	Mean	Err
0	36.3704	36.3704	9.53674e-07
1	30.8223	30.8223	5.84004e-07
2	26.8877	26.8877	5.84004e-07
3	25.2454	25.2454	8.92081e-07
4	23.7732	23.7732	3.37175e-07
5	22.3007	22.3007	5.3312e-07
6	21.6321	21.6321	2.38419e-07
7	21.1861	21.1861	7.53946e-07
8	19.5507	19.5507	3.37175e-07
9	18.6288	18.6288	2.38419e-07
10	18.1828	18.1828	7.15256e-07
11	17.6326	17.6326	8.92081e-07
12	17.5043	17.5043	5.3312e-07
13	17.2314	17.2314	0
14	17.1388	17.1388	4.76837e-07
15	16.2782	16.2782	7.53946e-07
16	16.2782	16.2782	7.53946e-07
17	15.8699	15.8699	5.3312e-07
18	14.6377	14.6377	3.76973e-07
19	13.6448	13.6448	4.4604e-07
20	12.843	12.843	2.38419e-07
21	12.843	12.843	2.38419e-07
22	12.4808	12.4808	5.3312e-07
23	12.3304	12.3304	2.92002e-07
24	12.2934	12.2934	2.92002e-07
25	12.2822	12.2822	4.4604e-07
26	12.1961	12.1961	4.12953e-07
27	10.7119	10.7119	4.61696e-07
28	9.83325	9.83325	3.95372e-07
29	9.83325	9.83325	3.95372e-07
30	9.7422	9.7422	4.61696e-07
31	9.70523	9.70523	4.12953e-07
32	9.61491	9.61491	3.37175e-07
33	8.86838	8.86838	3.76973e-07
34	8.77924	8.77924	2.92002e-07
35	8.71752	8.71752	3.37175e-07
36	8.62838	8.62838	1.19209e-07
37	8.62838	8.62838	1.19209e-07
38	8.62838	8.62838	1.19209e-07
39	8.62838	8.62838	1.19209e-07
40	8.62838	8.62838	1.19209e-07
41	8.16991	8.16991	2.92002e-07
42	8.16991	8.16991	2.92002e-07
43	8.16991	8.16991	2.92002e-07
44	8.16991	8.16991	2.92002e-07
45	8.16991	8.16991	2.92002e-07
46	8.09909	8.09909	2.06477e-07
47	8.08571	8.08571	1.19209e-07
48	8.08571	8.08571	1.19209e-07
49	8.08571	8.08571	1.19209e-07
50	8.08571	8.08571	1.19209e-07
51	6.68007	6.68007	2.2302e-07
52	6.13626	6.13626	0
53	6.13626	6.13626	0
54	6.13626	6.13626	0
55	6.04645	6.04645	1.88486e-07
56	6.04645	6.04645	1.88486e-07
57	6.04645	6.04645	1.88486e-07
58	6.04645	6.04645	1.88486e-07
59	6.04645	6.04645	1.88486e-07
60	6.04645	6.04645	1.88486e-07
61	6.04645	6.04645	1.88486e-07
62	6.04645	6.04645	1.88486e-07
63	6.04645	6.04645	1.88486e-07
64	6.04645	6.04645	1.88486e-07
65	6.04645	6.04645	1.88486e-07
66	6.04645	6.04645	1.88486e-07
67	6.04645	6.04645	1.88486e-07
68	6.04645	6.04645	1.88486e-07
69	6.04645	6.04645	1.88486e-07
70	6.04645	6.04645	1.88486e-07
71	6.04645	6.04645	1.88486e-07
72	6.04645	6.04645	1.88486e-07
73	6.04645	6.04645	1.88486e-07
74	6.04645	6.04645	1.88486e-07
75	6.04645	6.04645	1.88486e-07
76	6.04645	6.04645	1.88486e-07
77	6.04645	6.04645	1.88486e-07
78	6.04645	6.04645	1.88486e-07
79	6.04645	6.04645	1.88486e-07
80	6.04645	6.04645	1.88486e-07
81	6.04645	6.04645	1.88486e-07
82	6.04645	6.04645	1.88486e-07
83	6.04645	6.04645	1.88486e-07
84	6.04645	6.04645	1.88486e-07
85	6.04645	6.04645	1.88486e-07
86	6.04645	6.04645	1.88486e-07
87	6.04645	6.04645	1.88486e-07
88	6.04645	6.04645	1.88486e-07
89	6.04645	6.04645	1.88486e-07
90	6.04645	6.04645	1.88486e-07
91	6.04645	6.04645	1.88486e-07
92	6.04645	6.04645	1.88486e-07
93	6.04645	6.04645	1.88486e-07
94	6.04645	6.04645	1.88486e-07
95	6.04645	6.04645	1.88486e-07
96	6.04645	6.04645	1.88486e-07
97	6.04645	6.04645	1.88486e-07
98	6.04645	6.04645	1.88486e-07
99	6.04645	6.04645	1.88486e-07
100	6.04645	6.04645	1.88486e-07
101	6.04645	6.04645	1.88486e-07
102	6.04645	6.04645	1.88486e-07
103	6.04645	6.04645	1.88486e-07
104	6.04645	6.04645	1.88486e-07
105	6.04645	6.04645	1.88486e-07
106	6.04645	6.04645	1.88486e-07
107	6.04645	6.04645	1.88486e-07
108	6.04645	6.04645	1.88486e-07
109	6.04645	6.04645	1.88486e-07
110	6.04645	6.04645	1.88486e-07
111	6.04645	6.04645	1.88486e-07
112	6.04645	6.04645	1.88486e-07
113	6.04645	6.04645	1.88486e-07
114	6.04645	6.04645	1.88486e-07
115	6.04645	6.04645	1.88486e-07
116	6.04645	6.04645	1.88486e-07
117	6.04645	6.04645	1.88486e-07
118	6.04645	6.04645	1.88486e-07
119	6.04645	6.04645	1.88486e-07
120	6.04645	6.04645	1.88486e-07
121	6.04645	6.04645	1.88486e-07
122	6.04645	6.04645	1.88486e-07
123	6.04645	6.04645	1.88486e-07
124	6.04645	6.04645	1.88486e-07
125	6.04645	6.04645	1.88486e-07
126	6.04645	6.04645	1.88486e-07
127	6.04645	6.04645	1.88486e-07
128	6.04645	6.04645	1.88486e-07
129	6.04645	6.04645	1.88486e-07
130	6.04645	6.04645	1.88486e-07
131	6.04645	6.04645	1.88486e-07
132	6.04645	6.04645	1.88486e-07
133	6.04645	6.04645	1.88486e-07
134	6.04645	6.04645	1.88486e-07
135	6.04645	6.04645	1.88486e-07
136	6.04645	6.04645	1.88486e-07
137	6.04645	6.04645	1.88486e-07
138	6.04645	6.04645	1.88486e-07
139	6.04645	6.04645	1.88486e-07
140	6.04645	6.04645	1.88486e-07
141	6.04645	6.04645	1.88486e-07
142	6.04645	6.04645	1.88486e-07
143	6.04645	6.04645	1.88486e-07
144	6.04645	6.04645	1.88486e-07
145	6.04645	6.04645	1.88486e-07
146	6.04645	6.04645	1.88486e-07
147	6.04645	6.04645	1.88486e-07
148	6.04645	6.04645	1.88486e-07
149	6.04645	6.04645	1.88486e-07
150	6.04645	6.04645	1.88486e-07
151	6.04645	6.04645	1.88486e-07
152	6.04645	6.04645	1.88486e-07
153	6.04645	6.04645	1.88486e-07
154	6.04645	6.04645	1.88486e-07
155	6.04645	6.04645	1.88486e-07
156	6.04645	6.04645	1.88486e-07
157	6.04645	6.04645	1.88486e-07
158	6.04645	6.04645	1.88486e-07
159	6.04645	6.04645	1.88486e-07
160	6.04645	6.04645	1.88486e-07
161	6.04645	6.04645	1.88486e-07
162	6.04645	6.04645	1.88486e-07
163	6.04645	6.04645	1.88486e-07
164	6.04645	6.04645	1.88486e-07
165	6.04645	6.04645	1.88486e-07
166	6.04645	6.04645	1.88486e-07
167	6.04645	6.04645	1.88486e-07
168	6.04645	6.04645	1.88486e-07
169	6.04645	6.04645	1.88486e-07
170	6.04645	6.04645	1.88486e-07
171	6.04645	6.04645	1.88486e-07
172	6.04645	6.04645	1.88486e-07
173	6.04645	6.04645	1.88486e-07
174	6.04645	6.04645	1.88486e-07
175	6.04645	6.04645	1.88486e-07
176	6.04645	6.04645	1.88486e-07
177	6.04645	6.04645	1.88486e-07
178	6.04645	6.04645	1.88486e-07
179	6.04645	6.04645	1.88486e-07
180	6.04645	6.04645	1.88486e-07
181	6.04645	6.04645	1.88486e-07
182	6.04645	6.04645	1.88486e-07
183	6.04645	6.04645	1.88486e-07
184	6.04645	6.04645	1.88486e-07
185	6.04645	6.04645	1.88486e-07
186	6.04645	6.04645	1.88486e-07
187	6.04645	6.04645	1.88486e-07
188	6.04645	6.04645	1.88486e-07
189	6.04645	6.04645	1.88486e-07
190	6.04645	6.04645	1.88486e-07
191	6.04645	6.04645	1.88486e-07
192	6.04645	6.04645	1.88486e-07
193	6.04645	6.04645	1.88486e-07
194	6.04645	6.04645	1.88486e-07
195	6.04645	6.04645	1.88486e-07
196	6.04645	6.04645	1.88486e-07
197	6.04645	6.04645	1.88486e-07
198	6.04645	6.04645	1.88486e-07
199	6.04645	6.04645	1.88486e-07
200	6.04645	6.04645	1.88486e-07
201	6.04645	6.04645	1.88486e-07
202	6.04645	6.04645	1.88486e-07
203	6.04645	6.04645	1.88486e-07
204	6.04645	6.04645	1.88486e-07
205	6.04645	6.04645	1.88486e-07
206	6.04645	6.04645	1.88486e-07
207	6.04645	6.04645	1.88486e-07
208	6.04645	6.04645	1.88486e-07
209	6.04645	6.04645	1.88486e-07
210	6.04645	6.04645	1.88486e-07
211	6.04645	6.04645	1.88486e-07
212	6.04645	6.04645	1.88486e-07
213	6.04645	6.04645	1.88486e-07
214	6.04645	6.04645	1.88486e-07
215	6.04645	6.04645	1.88486e-07
216	6.04645	6.04645	1.88486e-07
217	6.04645	6.04645	1.88486e-07
218	6.04645	6.04645	1.88486e-07
219	6.04645	6.04645	1.88486e-07
220	6.04645	6.04645	1.88486e-07
221	6.04645	6.04645	1.88486e-07
222	6.04645	6.04645	1.88486e-07
223	6.04645	6.04645	1.88486e-07
224	6.04645	6.04645	1.88486e-07
225	6.04645	6.04645	1.88486e-07
226	6.04645	6.04645	1.88486e-07
227	6.04645	6.04645	1.88486e-07
228	6.04645	6.04645	1.88486e-07
229	6.04645	6.04645	1.88486e-07
230	6.04645	6.04645	1.88486e-07
231	6.04645	6.04645	1.88486e-07
232	6.04645	6.04645	1.88486e-07
233	6.04645	6.04645	1.88486e-07
234	6.04645	6.04645	1.88486e-07
235	6.04645	6.04645	1.88486e-07
236	6.04645	6.04645	1.88486e-07
237	6.04645	6.04645	1.88486e-07
238	6.04645	6.04645	1.88486e-07
239	6.04645	6.04645	1.88486e-07
240	6.04645	6.04645	1.88486e-07
241	6.04645	6.04645	1.88486e-07
242	6.04645	6.04645	1.88486e-07
243	6.04645	6.04645	1.88486e-07
244	6.04645	6.04645	1.88486e-07
245	6.04645	6.04645	1.88486e-07
246	6.04645	6.04645	1.88486e-07
247	6.04645	6.04645	1.88486e-07
248	6.04645	6.04645	1.88486e-07
249	6.04645	6.04645	1.88486e-07
250	6.04645	6.04645	1.88486e-07
251	6.04645	6.04645	1.88486e-07
252	6.04645	6.04645	1.88486e-07
253	6.04645	6.04645	1.88486e-07
254	6.04645	6.04645	1.88486e-07
255	6.04645	6.04645	1.88486e-07
256	6.04645	6.04645	1.88486e-07
257	6.04645	6.04645	1.88486e-07
258	6.04645	6.04645	1.88486e-07
259	6.04645	6.04645	1.88486e-07
260	6.04645	6.04645	1.88486e-07
261	6.04645	6.04645	1.88486e-07
262	6.04645	6.04645	1.88486e-07
263	6.04645	6.04645	1.88486e-07
264	6.04645	6.04645	1.88486e-07
265	6.04645	6.04645	1.88486e-07
266	6.04645	6.04645	1.88486e-07
267	6.04645	6.04645	1.88486e-07
268	6.04645	6.04645	1.88486e-07
269	6.04645	6.04645	1.88486e-07
270	6.04645	6.04645	1.88486e-07
271	6.04645	6.04645	1.88486e-07
272	6.04645	6.04645	1.88486e-07
273	6.04645	6.04645	1.88486e-07
274	6.04645	6.04645	1.88486e-07
275	6.04645	6.04645	1.88486e-07
276	6.04645	6.04645	1.88486e-07
277	6.04645	6.04645	1.88486e-07
278	6.04645	6.04645	1.88486e-07
279	6.04645	6.04645	1.88486e-07
280	6.04645	6.04645	1.88486e-07
281	6.04645	6.04645	1.88486e-07
282	6.04645	6.04645	1.88486e-07
283	6.04645	6.04645	1.88486e-07
284	6.04645	6.04645	1.88486e-07
285	6.04645	6.04645	1.88486e-07
286	6.04645	6.04645	1.88486e-07
287	6.04645	6.04645	1.88486e-07
288	6.04645	6.04645	1.88486e-07
289	6.04645	6.04645	1.88486e-07
290	6.04645	6.04645	1.88486e-07
291	6.04645	6.04645	1.88486e-07
292	6.04645	6.04645	1.88486e-07
293	6.04645	6.04645	1.88486e-07
294	6.04645	6.04645	1.88486e-07
295	6.04645	6.04645	1.88486e-07
296	6.04645	6.04645	1.88486e-07
297	6.04645	6.04645	1.88486e-07
298	6.04645	6.04645	1.88486e-07
299	6.04645	6.04645	1.88486e-07
