Gen	Best	Mean	Err
0	456.871	456.871	7.62939e-06
1	438.734	438.734	2.58725e-05
2	422.109	422.109	1.86881e-05
3	398.776	398.776	5.3948e-06
4	376.716	376.716	0
5	366.008	366.008	5.3948e-06
6	360.231	360.231	1.37541e-05
7	354.632	354.632	1.26519e-05
8	348.678	348.678	8.52992e-06
9	340.636	340.636	1.14441e-05
10	332.145	332.145	1.57284e-05
11	321.044	321.044	8.52992e-06
12	317.725	317.725	1.42733e-05
13	314.064	314.064	1.37541e-05
14	308.967	308.967	1.47743e-05
15	304.768	304.768	1.26519e-05
16	301.097	301.097	1.20631e-05
17	298.19	298.19	7.62939e-06
18	294.487	294.487	1.57284e-05
19	288.704	288.704	1.07896e-05
20	280.606	280.606	8.52992e-06
21	275.682	275.682	0
22	268.946	268.946	1.37541e-05
23	266.811	266.811	8.52992e-06
24	264.632	264.632	1.32145e-05
25	261.782	261.782	5.3948e-06
26	255.185	255.185	6.60725e-06
27	251.202	251.202	6.60725e-06
28	246.27	246.27	8.09219e-06
29	246.186	246.186	6.60725e-06
30	242.747	242.747	1.2361e-05
31	238.202	238.202	8.52992e-06
32	233.669	233.669	1.40161e-05
33	231.764	231.764	1.11217e-05
34	231.664	231.664	5.3948e-06
35	226.704	226.704	7.62939e-06
36	225.702	225.702	5.3948e-06
37	220.836	220.836	1.0447e-05
38	215.642	215.642	8.09219e-06
39	212.95	212.95	8.52992e-06
40	208.327	208.327	0
41	208.327	208.327	0
42	204.988	204.988	8.94626e-06
43	202.001	202.001	4.67203e-06
44	198.925	198.925	6.03157e-06
45	194.154	194.154	7.62939e-06
46	192.94	192.94	8.94626e-06
47	187.932	187.932	4.67203e-06
48	186.718	186.718	5.3948e-06
49	184.219	184.219	5.3948e-06
50	180.368	180.368	6.60725e-06
51	180.368	180.368	6.60725e-06
52	180.1	180.1	2.6974e-06
53	179.42	179.42	6.87704e-06
54	179.42	179.42	6.87704e-06
55	179.044	179.044	7.62939e-06
56	176.894	176.894	2.6974e-06
57	175.609	175.609	3.8147e-06
58	171.378	171.378	8.31394e-06
59	170.093	170.093	1.90735e-06
60	169.257	169.257	5.3948e-06
61	169.257	169.257	5.3948e-06
62	168.893	168.893	4.26496e-06
63	167.727	167.727	6.60725e-06
64	167.157	167.157	3.8147e-06
65	165.492	165.492	1.00927e-05
66	164.039	164.039	1.90735e-06
67	162.217	162.217	7.8642e-06
68	160.799	160.799	6.87704e-06
69	159.455	159.455	7.13665e-06
70	159.455	159.455	7.13665e-06
71	159.455	159.455	7.13665e-06
72	159.327	159.327	1.90735e-06
73	157.799	157.799	7.38713e-06
74	155.795	155.795	3.30362e-06
75	152.635	152.635	5.04637e-06
76	152.13	152.13	7.8642e-06
77	149.1	149.1	7.8642e-06
78	147.756	147.756	7.62939e-06
79	146.722	146.722	7.38713e-06
80	146.722	146.722	7.38713e-06
81	145.254	145.254	7.8642e-06
82	144.621	144.621	4.26496e-06
83	144.621	144.621	4.26496e-06
84	141.299	141.299	6.87704e-06
85	140.188	140.188	7.13665e-06
86	139.509	139.509	6.03157e-06
87	139.509	139.509	6.03157e-06
88	139.105	139.105	5.72205e-06
89	139.105	139.105	5.72205e-06
90	138.598	138.598	0
91	137.409	137.409	6.32596e-06
92	136.902	136.902	6.03157e-06
93	136.902	136.902	6.03157e-06
94	136.431	136.431	3.30362e-06
95	136.268	136.268	4.67203e-06
96	136.153	136.153	6.32596e-06
97	136.132	136.132	5.04637e-06
98	134.852	134.852	4.26496e-06
99	133.305	133.305	7.13665e-06
100	133.305	133.305	7.13665e-06
101	133.305	133.305	7.13665e-06
102	132.899	132.899	6.87704e-06
103	132.37	132.37	3.30362e-06
104	131.774	131.774	2.6974e-06
105	130.662	130.662	5.04637e-06
106	130.355	130.355	5.72205e-06
107	128.849	128.849	5.72205e-06
108	127.549	127.549	5.87884e-06
109	127.549	127.549	5.87884e-06
110	127.413	127.413	0
111	127.069	127.069	7.26297e-06
112	126.933	126.933	5.22349e-06
113	126.933	126.933	5.22349e-06
114	125.348	125.348	6.18052e-06
115	124.928	124.928	5.22349e-06
116	124.928	124.928	5.22349e-06
117	124.928	124.928	5.22349e-06
118	123.929	123.929	5.3948e-06
119	123.514	123.514	2.33602e-06
120	122.841	122.841	3.01578e-06
121	122.071	122.071	1.3487e-06
122	121.985	121.985	5.04637e-06
123	121.669	121.669	4.67203e-06
124	121.347	121.347	1.90735e-06
125	121.317	121.317	5.04637e-06
126	121.317	121.317	5.04637e-06
127	121.317	121.317	5.04637e-06
128	120.608	120.608	3.01578e-06
129	120.402	120.402	3.30362e-06
130	120.224	120.224	3.56832e-06
131	119.39	119.39	4.0461e-06
132	119.39	119.39	4.0461e-06
133	117.837	117.837	3.56832e-06
134	117.383	117.383	3.30362e-06
135	117.383	117.383	3.30362e-06
136	117.383	117.383	3.30362e-06
137	116.1	116.1	4.8628e-06
138	116.1	116.1	4.8628e-06
139	115.25	115.25	4.67203e-06
140	115.25	115.25	4.67203e-06
141	115.25	115.25	4.67203e-06
142	114.702	114.702	3.30362e-06
143	114.684	114.684	4.26496e-06
144	114.317	114.317	2.33602e-06
145	112.345	112.345	1.90735e-06
146	111.487	111.487	5.22349e-06
147	111.249	111.249	5.04637e-06
148	110.656	110.656	0
149	110.157	110.157	6.03157e-06
150	110.102	110.102	3.30362e-06
151	109.099	109.099	0
152	105.179	105.179	3.56832e-06
153	105.179	105.179	3.56832e-06
154	105.179	105.179	3.56832e-06
155	105.179	105.179	3.56832e-06
156	104.908	104.908	3.30362e-06
157	104.675	104.675	2.33602e-06
158	104.457	104.457	1.90735e-06
159	103.796	103.796	4.8628e-06
160	103.796	103.796	4.8628e-06
161	103.796	103.796	4.8628e-06
162	103.428	103.428	5.3948e-06
163	102.214	102.214	3.30362e-06
164	102.214	102.214	3.30362e-06
165	100.999	100.999	3.56832e-06
166	100.999	100.999	3.56832e-06
167	100.999	100.999	3.56832e-06
168	100.999	100.999	3.56832e-06
169	100.999	100.999	3.56832e-06
170	100.965	100.965	3.8147e-06
171	100.796	100.796	2.33602e-06
172	100.763	100.763	3.30362e-06
173	100.763	100.763	3.30362e-06
174	100.763	100.763	3.30362e-06
175	100.278	100.278	3.01578e-06
176	99.6327	99.6327	1.90735e-06
177	99.3721	99.3721	2.6974e-06
178	99.3721	99.3721	2.6974e-06
179	99.3721	99.3721	2.6974e-06
180	99.3721	99.3721	2.6974e-06
181	99.3721	99.3721	2.6974e-06
182	99.3721	99.3721	2.6974e-06
183	98.4582	98.4582	2.6974e-06
184	98.4582	98.4582	2.6974e-06
185	98.2822	98.2822	4.0461e-06
186	98.2822	98.2822	4.0461e-06
187	97.0991	97.0991	4.26496e-06
188	96.4095	96.4095	5.3948e-06
189	95.8103	95.8103	3.56832e-06
190	95.8103	95.8103	3.56832e-06
191	95.8103	95.8103	3.56832e-06
192	95.8103	95.8103	3.56832e-06
193	95.8103	95.8103	3.56832e-06
194	95.8103	95.8103	3.56832e-06
195	95.6652	95.6652	4.0461e-06
196	95.6652	95.6652	4.0461e-06
197	95.6652	95.6652	4.0461e-06
198	95.6652	95.6652	4.0461e-06
199	95.6652	95.6652	4.0461e-06
200	95.4942	95.4942	1.90735e-06
201	95.4942	95.4942	1.90735e-06
202	95.4942	95.4942	1.90735e-06
203	95.4942	95.4942	1.90735e-06
204	95.4942	95.4942	1.90735e-06
205	95.4942	95.4942	1.90735e-06
206	95.0626	95.0626	2.33602e-06
207	95.0626	95.0626	2.33602e-06
208	94.9391	94.9391	3.8147e-06
209	94.9391	94.9391	3.8147e-06
210	94.6654	94.6654	2.33602e-06
211	94.285	94.285	5.22349e-06
212	94.285	94.285	5.22349e-06
213	94.285	94.285	5.22349e-06
214	94.285	94.285	5.22349e-06
215	94.2712	94.2712	1.3487e-06
216	94.2712	94.2712	1.3487e-06
217	94.2712	94.2712	1.3487e-06
218	91.2478	91.2478	0
219	91.2478	91.2478	0
220	90.8528	90.8528	1.3487e-06
221	90.8528	90.8528	1.3487e-06
222	90.8528	90.8528	1.3487e-06
223	90.8528	90.8528	1.3487e-06
224	90.6051	90.6051	1.3487e-06
225	90.2148	90.2148	3.30362e-06
226	89.9671	89.9671	4.95544e-06
227	89.9671	89.9671	4.95544e-06
228	89.9671	89.9671	4.95544e-06
229	89.9671	89.9671	4.95544e-06
230	89.9671	89.9671	4.95544e-06
231	89.8322	89.8322	3.69356e-06
232	89.8322	89.8322	3.69356e-06
233	89.8322	89.8322	3.69356e-06
234	89.8322	89.8322	3.69356e-06
235	89.8322	89.8322	3.69356e-06
236	89.8322	89.8322	3.69356e-06
237	89.8322	89.8322	3.69356e-06
238	89.8322	89.8322	3.69356e-06
239	89.8322	89.8322	3.69356e-06
240	89.4011	89.4011	4.15697e-06
241	89.0563	89.0563	4.57366e-06
242	88.327	88.327	1.3487e-06
243	87.8959	87.8959	9.53674e-07
244	87.7453	87.7453	3.69356e-06
245	87.3142	87.3142	4.15697e-06
246	86.87	86.87	9.53674e-07
247	86.87	86.87	9.53674e-07
248	86.87	86.87	9.53674e-07
249	86.87	86.87	9.53674e-07
250	86.87	86.87	9.53674e-07
251	86.87	86.87	9.53674e-07
252	86.87	86.87	9.53674e-07
253	85.9832	85.9832	4.57366e-06
254	85.9832	85.9832	4.57366e-06
255	85.952	85.952	2.33602e-06
