Block	$<R^2>_{RW}$	devstd
1	1	0
2	1.41597	0.00404991
3	1.73083	0.00473166
4	1.99828	0.00610461
5	2.23353	0.00721065
6	2.44734	0.00916783
7	2.64896	0.00994685
8	2.82951	0.0109431
9	3.00374	0.0122049
10	3.16745	0.0118212
11	3.31947	0.0122004
12	3.46594	0.012007
13	3.61064	0.012511
14	3.74448	0.0129696
15	3.87891	0.0135781
16	4.01013	0.0136532
17	4.12901	0.015134
18	4.2506	0.0152546
19	4.36572	0.0160524
20	4.47394	0.0161758
21	4.57944	0.0172008
22	4.69265	0.0179422
23	4.79662	0.0178833
24	4.89595	0.0187125
25	4.99997	0.0187203
26	5.10483	0.0192149
27	5.19779	0.0198376
28	5.29563	0.0201859
29	5.38045	0.0207344
30	5.45572	0.0212526
31	5.55211	0.0216687
32	5.64438	0.0221026
33	5.71858	0.0218044
34	5.8006	0.0232454
35	5.88033	0.0233793
36	5.96183	0.0227327
37	6.04793	0.023528
38	6.13512	0.0236723
39	6.21698	0.0237882
40	6.30307	0.023323
41	6.38615	0.0238897
42	6.46225	0.0241357
43	6.53514	0.0245114
44	6.60265	0.0247304
45	6.67515	0.0251468
46	6.75081	0.0251686
47	6.83431	0.0262029
48	6.89998	0.026943
49	6.98736	0.028467
50	7.05189	0.028954
51	7.11809	0.0286445
52	7.19062	0.0292675
53	7.26256	0.0302197
54	7.33559	0.0303781
55	7.40569	0.0306633
56	7.46646	0.0308522
57	7.5292	0.0299836
58	7.59005	0.0297704
59	7.65015	0.0300627
60	7.71952	0.0303173
61	7.79016	0.031049
62	7.84797	0.031653
63	7.90404	0.0319436
64	7.97032	0.0323258
65	8.03212	0.0319998
66	8.09474	0.0326906
67	8.16405	0.0327355
68	8.223	0.0326169
69	8.27821	0.0340828
70	8.3484	0.0334538
71	8.40633	0.033454
72	8.45688	0.0339621
73	8.51709	0.034424
74	8.57137	0.0346744
75	8.62982	0.0343729
76	8.69427	0.0344559
77	8.75014	0.0350511
78	8.7932	0.0357968
79	8.85415	0.0357632
80	8.91468	0.0357146
81	8.97149	0.0355025
82	9.0307	0.036365
83	9.08198	0.0370096
84	9.13474	0.0372489
85	9.18788	0.0382154
86	9.23734	0.0381005
87	9.28406	0.0371416
88	9.34394	0.0383172
89	9.39825	0.0388417
90	9.46044	0.0382304
91	9.50854	0.0393111
92	9.55981	0.0400077
93	9.61855	0.0402152
94	9.6732	0.0398674
95	9.72542	0.0401493
96	9.77736	0.0399432
97	9.82173	0.0407066
98	9.85955	0.0409598
99	9.90912	0.0422846
100	9.96113	0.0430598
