Step	$<R^2>_{RW}$	devstd
1	1	0
2	1.42146	0.00463866
3	1.74532	0.00594518
4	2.01752	0.00745666
5	2.24869	0.00827812
6	2.46693	0.00973818
7	2.67549	0.0096363
8	2.86076	0.0117272
9	3.02981	0.0128361
10	3.18907	0.0133597
11	3.33556	0.0139528
12	3.48091	0.0132757
13	3.62853	0.0144024
14	3.76092	0.0149448
15	3.89242	0.0161396
16	4.02759	0.0176817
17	4.15072	0.0181489
18	4.2686	0.0182182
19	4.38817	0.0185239
20	4.49784	0.0188722
21	4.60397	0.0184895
22	4.71365	0.0191379
23	4.82835	0.0195728
24	4.92919	0.0201439
25	5.02816	0.0206663
26	5.12938	0.0209719
27	5.22238	0.0216153
28	5.31972	0.0226382
29	5.41712	0.0234986
30	5.49558	0.0231647
31	5.59694	0.0234976
32	5.67235	0.023837
33	5.76298	0.0243096
34	5.85766	0.0255844
35	5.94475	0.0259193
36	6.026	0.0262029
37	6.12087	0.0268149
38	6.20831	0.0284484
39	6.28403	0.0290281
40	6.3591	0.0290684
41	6.44366	0.0282528
42	6.51862	0.0284101
43	6.59466	0.0293943
44	6.66692	0.0292854
45	6.74148	0.0295985
46	6.81378	0.029168
47	6.89247	0.0305022
48	6.9597	0.0304071
49	7.04394	0.030823
50	7.10539	0.0318307
51	7.16674	0.0316515
52	7.23874	0.0321947
53	7.30259	0.0328245
54	7.38451	0.0329173
55	7.46156	0.0333002
56	7.52618	0.0329895
57	7.59374	0.0328146
58	7.65101	0.0326463
59	7.72703	0.0335589
60	7.79717	0.0347321
61	7.85904	0.0344156
62	7.92022	0.0342668
63	7.98722	0.0344004
64	8.05663	0.033921
65	8.1124	0.0341454
66	8.17706	0.0350602
67	8.24748	0.0357201
68	8.31407	0.0360277
69	8.37493	0.0369839
70	8.43417	0.0366055
71	8.49081	0.0371266
72	8.548	0.0372116
73	8.61016	0.037578
74	8.66184	0.0380084
75	8.71034	0.0380773
76	8.76579	0.0388175
77	8.83219	0.0394928
78	8.88163	0.0401616
79	8.93667	0.0402031
80	8.98614	0.0406174
81	9.04514	0.0406113
82	9.10454	0.0413461
83	9.15755	0.0424319
84	9.20714	0.0420869
85	9.27172	0.0419377
86	9.31872	0.0410811
87	9.37245	0.0404088
88	9.43186	0.0423215
89	9.48224	0.0430656
90	9.52973	0.0430661
91	9.57167	0.0437651
92	9.61988	0.0439193
93	9.67956	0.0437935
94	9.73472	0.0440805
95	9.78976	0.0441978
96	9.84148	0.0445006
97	9.89123	0.045527
98	9.93624	0.0449967
99	9.99005	0.045703
100	10.0325	0.0466557
