X	Y	Z
-0.346333	0.146004	0.92668
-0.444591	0.197528	1.92051
-0.210136	0.687265	2.76026
-1.09643	0.383018	2.4111
-1.42362	0.0987677	3.3123
-1.48592	-0.00852513	4.30457
-1.76873	0.497963	3.49002
-1.78956	0.433036	4.48769
-2.5712	0.109017	5.02065
-2.89603	-0.780187	5.34284
-2.84092	-0.394697	6.2639
-2.3103	-0.0898798	5.473
-3.17906	0.038289	5.95137
-3.77933	0.059255	5.15185
-3.83987	-0.770258	4.59665
-2.94805	-0.522182	4.21835
-2.96944	-0.248061	3.2569
-2.42363	0.301588	3.88933
-2.00915	1.00509	3.31202
-2.15689	0.350559	4.05348
-1.92058	0.313608	5.02446
-1.37212	1.12336	4.81588
-1.76996	0.311808	5.2438
-2.62104	0.538239	4.77009
-2.67188	1.53153	4.66625
-1.95869	2.03327	5.15576
-1.95777	1.47187	5.9833
-2.26899	2.40275	5.79202
-2.23476	2.21091	4.81119
-1.65909	1.42383	4.5896
-2.33276	0.919806	5.13009
-3.01257	1.62698	4.93579
-3.34211	1.07411	5.70113
-3.03816	1.41204	4.81039
-3.42176	0.98937	3.98929
-3.95067	1.83102	3.88032
-3.68111	1.73588	2.92204
-2.91475	1.34308	2.41371
-2.836	1.24705	1.42145
-2.69856	1.05905	0.448946
-1.73868	0.990052	0.720731
-1.17934	0.57715	0.00194675
-1.73542	1.28945	-0.42632
-1.53967	1.24871	0.553488
-0.70512	0.87225	0.955738
-0.0990097	0.180956	1.34911
-0.467846	-0.716195	1.10605
-1.25792	-1.32552	1.17317
-1.11247	-1.16995	0.196109
-0.841701	-0.300337	-0.216751
-1.35206	0.365438	-0.761069
-0.764151	0.241387	0.0382939
-1.02212	0.091272	0.992713
-1.1784	0.573159	0.13053
-1.00745	1.46251	0.554603
-0.694327	1.43655	1.50396
-0.708467	1.44948	2.50378
0.0641882	1.41922	1.86967
0.577875	1.27535	1.02384
0.614187	0.793658	1.89943
1.09226	1.36169	2.56934
1.54596	1.36966	1.67822
0.609757	1.49257	2.00749
1.14446	1.46767	1.16281
0.491314	1.78024	1.85252
0.242469	2.05318	0.923234
-0.120605	2.37955	0.0505021
-0.791849	2.75336	0.690577
-0.656833	3.73084	0.852748
-0.36931	3.48663	-0.0733666
-1.02229	4.0757	-0.549396
-1.05707	4.64658	-1.3697
-1.5202	5.29805	-1.9706
-2.36278	4.96678	-2.39524
-2.37443	4.00337	-2.12745
-2.47924	3.86375	-1.14281
-1.80788	3.20269	-1.4779
-1.7897	3.20413	-0.478067
-1.7955	3.10008	0.516488
-0.9524	3.48747	0.889458
-1.47229	3.0548	0.152901
-0.999051	2.89525	1.01927
-0.637879	3.02824	1.94224
-0.515041	2.64081	2.85592
-0.858214	2.64231	3.79519
-0.919719	2.61013	2.7976
-0.945628	3.40763	3.40036
-0.948676	3.41228	4.40035
-0.335957	3.73921	5.11986
0.378797	3.995	5.77078
0.647696	4.94379	5.93657
1.19134	4.34621	6.52593
1.83869	3.91444	5.89784
2.31398	3.66357	6.74115
1.97246	3.6206	7.68004
1.49533	2.99537	8.29764
2.39362	3.03078	8.73562
1.45667	2.77313	8.97172
2.16849	2.72252	8.27118
1.17094	2.78369	8.30521
