$<R^2>_{RW}$ 	devstd
17.2829	nan
15.3866	1.89633
15.2655	1.10152
16.7139	1.64453
16.1763	1.38264
16.2004	1.12917
16.0679	0.96348
16.1854	0.842638
16.1925	0.74317
16.1667	0.665214
16.0458	0.613728
16.0872	0.561781
15.7115	0.638871
15.6256	0.597693
15.661	0.557546
15.7069	0.523556
15.9687	0.557158
15.8229	0.545167
15.7704	0.518345
15.7409	0.49263
15.6126	0.485812
15.5326	0.470069
15.4615	0.454759
15.4072	0.438767
15.2981	0.434754
15.2917	0.417748
15.2931	0.401981
15.2494	0.389819
15.3136	0.381586
15.3787	0.374344
15.4217	0.364612
15.3334	0.363917
15.3719	0.354813
15.2887	0.354119
15.31	0.34451
15.3112	0.334806
15.2709	0.328113
15.2118	0.324782
15.2432	0.317893
15.2486	0.309891
15.1921	0.307462
15.2645	0.308648
15.2609	0.301406
15.2595	0.29448
15.1739	0.300321
15.1519	0.294549
15.1486	0.288232
15.1401	0.28229
15.0954	0.28007
15.0385	0.280238
14.9985	0.277588
15.0123	0.272547
14.9766	0.269728
14.9592	0.265258
14.8838	0.271067
14.8619	0.267087
14.9119	0.267076
14.8886	0.263456
14.8834	0.259004
14.9249	0.258012
14.9265	0.253752
14.9891	0.25735
14.9955	0.253312
15.0161	0.250175
15.0342	0.246959
15.0251	0.243359
15.0629	0.242656
15.0878	0.240356
15.0319	0.243359
15.0449	0.24021
15.0213	0.23798
15.0206	0.234652
14.996	0.232719
15.0113	0.230064
14.999	0.227309
14.9998	0.224299
15.0386	0.224741
15.0531	0.222312
15.111	0.226991
15.0799	0.226278
15.0493	0.225555
15.0435	0.222863
15.022	0.221208
15.0253	0.218584
15.0326	0.216122
14.9905	0.217698
15.0206	0.217267
14.9874	0.217325
15.0106	0.216118
15.01	0.213704
15.009	0.211345
14.9889	0.210002
15.0143	0.209278
15.0276	0.207467
15.0554	0.207145
15.0628	0.205108
15.0499	0.203388
15.0037	0.206539
15.0017	0.204452
15.0111	0.20262
