Blocchi	Price	Error
1	14.0709	0
2	14.7333	0.662435
3	14.5012	0.44739
4	13.7295	0.834012
5	13.9644	0.687388
6	14.4203	0.723069
7	14.7909	0.71471
8	14.5861	0.651968
9	14.4369	0.594016
10	14.346	0.539015
11	14.4646	0.501769
12	14.3574	0.470426
13	14.4599	0.444692
14	14.2673	0.4545
15	14.2144	0.42642
16	14.1924	0.399486
17	14.1506	0.37757
18	14.0168	0.380281
19	14.1204	0.374324
20	14.0009	0.374692
21	14.1165	0.374707
22	14.1497	0.358803
23	14.1867	0.344844
24	14.3422	0.364941
25	14.2986	0.352742
26	14.5208	0.405214
27	14.5158	0.389949
28	14.4674	0.378867
29	14.4412	0.366505
30	14.4411	0.354078
31	14.4172	0.343296
32	14.4641	0.335679
33	14.4316	0.326959
34	14.4913	0.322753
35	14.4617	0.314791
36	14.4216	0.308538
37	14.4082	0.300383
38	14.4203	0.292622
39	14.3928	0.286337
40	14.3716	0.279892
41	14.3851	0.27331
42	14.4188	0.268854
43	14.3387	0.274479
44	14.3869	0.272457
45	14.356	0.268119
46	14.3873	0.264092
47	14.3671	0.259202
48	14.3717	0.253786
49	14.3925	0.249423
50	14.4057	0.244736
51	14.4252	0.240682
52	14.504	0.248821
53	14.5	0.244115
54	14.4849	0.240023
55	14.524	0.238844
56	14.527	0.234559
57	14.4604	0.239841
58	14.4363	0.236893
59	14.4027	0.235262
60	14.415	0.231633
61	14.503	0.244222
62	14.4756	0.24181
63	14.4984	0.23903
64	14.5426	0.239383
65	14.5226	0.236518
66	14.5289	0.232992
67	14.5313	0.229501
68	14.5052	0.227603
69	14.4611	0.228576
70	14.5202	0.232918
71	14.5289	0.229778
72	14.5283	0.226566
73	14.5701	0.227328
74	14.5891	0.225037
75	14.6257	0.225018
76	14.6608	0.224789
77	14.681	0.222772
78	14.698	0.220552
79	14.6892	0.217922
80	14.6535	0.218121
81	14.6847	0.217667
82	14.7011	0.215622
83	14.6703	0.215231
84	14.6487	0.213743
85	14.6893	0.215077
86	14.6762	0.212965
87	14.7077	0.212843
88	14.6732	0.213212
89	14.6642	0.210998
90	14.6479	0.209272
91	14.6716	0.208308
92	14.6893	0.206793
93	14.714	0.206048
94	14.7097	0.20389
95	14.6951	0.202256
96	14.6701	0.201704
97	14.6884	0.20045
98	14.7409	0.205234
99	14.7486	0.203297
100	14.7488	0.201254
101	14.7614	0.199649
102	14.7273	0.200605
103	14.7619	0.201646
104	14.7286	0.202452
105	14.7147	0.200997
106	14.722	0.199224
107	14.7196	0.197367
108	14.7027	0.196262
109	14.7322	0.196683
110	14.7282	0.194929
111	14.7153	0.193595
112	14.7242	0.192066
113	14.7714	0.196109
114	14.786	0.194931
115	14.8005	0.193774
116	14.8134	0.192526
117	14.7777	0.194188
118	14.7712	0.192644
119	14.7672	0.191061
120	14.7649	0.189475
121	14.7496	0.188524
122	14.7868	0.190643
123	14.7935	0.189203
124	14.8007	0.187809
125	14.7952	0.18638
126	14.7969	0.184902
127	14.799	0.183452
128	14.7915	0.182167
129	14.8076	0.181468
130	14.8136	0.180166
131	14.8011	0.179223
132	14.8088	0.178026
133	14.8234	0.177279
