#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.55488	1.55488	0
2	1.75869	1.65679	0.0720576
3	1.78989	1.70116	0.0601666
4	1.87249	1.74399	0.0584152
5	1.809	1.75699	0.0481574
6	1.83946	1.77074	0.042047
7	1.83445	1.77984	0.0370123
8	1.81721	1.78451	0.0326792
9	1.8065	1.78695	0.0291394
10	1.80864	1.78912	0.0263061
11	1.8455	1.79425	0.0244088
12	1.82941	1.79718	0.0225499
13	1.83345	1.79997	0.0209872
14	1.83729	1.80263	0.0196568
15	1.87539	1.80748	0.0189352
16	1.85405	1.81039	0.0179741
17	1.83768	1.812	0.0169883
18	1.86444	1.81491	0.0162924
19	1.87418	1.81803	0.0157307
20	1.86882	1.82057	0.0151477
