#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.44704	1.44704	0
2	1.44691	1.44697	4.63829e-05
3	1.44675	1.4469	6.74188e-05
4	1.44687	1.44689	5.10135e-05
5	1.4469	1.44689	4.08413e-05
6	1.44683	1.44688	3.51373e-05
7	1.44671	1.44686	3.78159e-05
8	1.44681	1.44685	3.35269e-05
9	1.44682	1.44685	3.00162e-05
10	1.44693	1.44686	2.80743e-05
11	1.44687	1.44686	2.5542e-05
12	1.44686	1.44686	2.34151e-05
13	1.44696	1.44686	2.2969e-05
14	1.4469	1.44687	2.14729e-05
15	1.44684	1.44687	2.01259e-05
16	1.44693	1.44687	1.9287e-05
17	1.44681	1.44687	1.84519e-05
18	1.44684	1.44686	1.75008e-05
19	1.4468	1.44686	1.69428e-05
20	1.44683	1.44686	1.61502e-05
