#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.100758	-0.100758	0
2	-0.287849	-0.194304	0.0661469
3	-0.272035	-0.220214	0.0489101
4	-0.309095	-0.242434	0.0414236
5	-0.368513	-0.26765	0.0400856
6	-0.425449	-0.29395	0.0411372
7	-0.407352	-0.31015	0.0383179
8	-0.392995	-0.320506	0.0348994
9	-0.350939	-0.323887	0.0311851
10	-0.344679	-0.325966	0.0281358
11	-0.36733	-0.329727	0.0258281
12	-0.391429	-0.334869	0.0241821
13	-0.418837	-0.341328	0.0231685
14	-0.461063	-0.34988	0.0230382
15	-0.494589	-0.359527	0.0234353
16	-0.433555	-0.364154	0.0224227
17	-0.463762	-0.370013	0.0218558
18	-0.438571	-0.373822	0.0209709
19	-0.402384	-0.375325	0.0199209
20	-0.472669	-0.380193	0.0195104
