#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0517547	0.0517547	0
2	0.0579951	0.0548749	0.00220631
3	0.057421	0.0557236	0.00162594
4	0.0586377	0.0564521	0.001373
5	0.0605854	0.0572788	0.00132407
6	0.062526	0.0581533	0.00136192
7	0.0619034	0.058689	0.00126836
8	0.0614177	0.0590301	0.00115476
9	0.0600586	0.0591444	0.00103209
10	0.0598055	0.0592105	0.000931
11	0.0605901	0.0593359	0.00085477
12	0.0613644	0.059505	0.00080008
13	0.0623056	0.0597204	0.000766992
14	0.0636575	0.0600016	0.00076202
15	0.0647994	0.0603215	0.000775448
16	0.062776	0.0604749	0.000742002
17	0.0637944	0.0606701	0.000723592
18	0.0629278	0.0607956	0.000694177
19	0.0617285	0.0608447	0.000659376
20	0.0640857	0.0610067	0.000646014
