#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.03575	1.03575	0
2	1.16032	1.09804	0.0440436
3	1.14979	1.11529	0.0325656
4	1.17451	1.13009	0.0275852
5	1.21402	1.14688	0.0266915
6	1.25207	1.16441	0.0274025
7	1.23998	1.17521	0.0255259
8	1.23047	1.18211	0.0232512
9	1.20243	1.18437	0.0207769
10	1.19816	1.18575	0.0187449
11	1.21327	1.18825	0.0172069
12	1.22933	1.19167	0.0161099
13	1.24761	1.19598	0.0154345
14	1.27572	1.20167	0.0153472
15	1.29807	1.2081	0.0156117
16	1.25739	1.21118	0.0149368
17	1.27759	1.21509	0.01456
18	1.2608	1.21763	0.0139709
19	1.23664	1.21863	0.0132714
20	1.28343	1.22187	0.0129974
