#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.80584	1.80584	0
2	1.78665	1.79625	0.00678236
3	1.84006	1.81085	0.0127523
4	1.83545	1.817	0.0109477
5	1.8313	1.81986	0.00912405
6	1.77578	1.81251	0.0101386
7	1.80234	1.81106	0.00879372
8	1.78178	1.8074	0.00842195
9	1.79741	1.80629	0.00755895
10	1.82535	1.8082	0.00703938
11	1.81053	1.80841	0.00640262
12	1.77462	1.80559	0.00645849
13	1.80519	1.80556	0.00596176
14	1.8502	1.80875	0.00633147
15	1.86684	1.81262	0.00699404
16	1.84059	1.81437	0.00677178
17	1.77302	1.81194	0.00679625
18	1.79502	1.811	0.00648336
19	1.78395	1.80957	0.00629653
20	1.81358	1.80977	0.00598489
