#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.413466	-0.413466	0
2	-0.39433	-0.403898	0.0067655
3	-0.447891	-0.418562	0.0127948
4	-0.443286	-0.424743	0.0109881
5	-0.439225	-0.42764	0.00916422
6	-0.383683	-0.420314	0.0101512
7	-0.410161	-0.418863	0.00880406
8	-0.389568	-0.415201	0.00843077
9	-0.405299	-0.414101	0.00756547
10	-0.433191	-0.41601	0.00704566
11	-0.418319	-0.41622	0.00640827
12	-0.382416	-0.413403	0.00646381
13	-0.412964	-0.413369	0.00596668
14	-0.458054	-0.416561	0.00633693
15	-0.474747	-0.42044	0.00700178
16	-0.448382	-0.422186	0.00677845
17	-0.380845	-0.419755	0.00680197
18	-0.402855	-0.418816	0.00648855
19	-0.391876	-0.417398	0.00630007
20	-0.421439	-0.4176	0.0059883
