#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0625084	0.0625084	0
2	0.0683282	0.0654183	0.0020576
3	0.068908	0.0665815	0.00166846
4	0.0699866	0.0674328	0.00145237
5	0.0726619	0.0684786	0.00149164
6	0.0717855	0.0690298	0.00134099
7	0.0695355	0.069102	0.00115137
8	0.0705112	0.0692782	0.00102083
9	0.0720132	0.0695821	0.000951564
10	0.0717334	0.0697972	0.000880392
11	0.0723702	0.0700311	0.00083085
12	0.0718687	0.0701842	0.000775597
13	0.0718176	0.0703099	0.000726041
14	0.071259	0.0703777	0.000677339
15	0.0713233	0.0704407	0.00063511
16	0.0699073	0.0704074	0.00059629
17	0.0701986	0.0703951	0.000561341
18	0.0704205	0.0703965	0.000530157
19	0.0701572	0.0703839	0.000502403
20	0.0707914	0.0704043	0.000477696
