#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.25479	1.25479	0
2	1.34734	1.30107	0.0327205
3	1.36443	1.32219	0.0278078
4	1.38043	1.33675	0.0243719
5	1.39242	1.34788	0.0218932
6	1.40628	1.35762	0.0202924
7	1.41187	1.36537	0.0188154
8	1.39433	1.36899	0.0168083
9	1.40929	1.37346	0.0155257
10	1.42364	1.37848	0.0147615
11	1.43577	1.38369	0.014309
12	1.42535	1.38716	0.0135312
13	1.42642	1.39018	0.012823
14	1.4208	1.39237	0.0120921
15	1.41051	1.39358	0.0113463
16	1.38217	1.39287	0.0106595
17	1.42868	1.39497	0.0102386
18	1.40851	1.39572	0.00969734
19	1.44547	1.39834	0.00953381
20	1.41014	1.39893	0.00907534
