#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.39237	1.39237	0
2	1.39232	1.39235	1.68565e-05
3	1.39216	1.39229	5.08689e-05
4	1.39217	1.39226	4.6086e-05
5	1.39207	1.39222	4.91805e-05
6	1.3921	1.3922	4.51304e-05
7	1.39218	1.3922	3.87673e-05
8	1.39221	1.3922	3.39481e-05
9	1.39211	1.39219	3.14873e-05
10	1.39216	1.39219	2.84381e-05
11	1.39221	1.39219	2.59257e-05
12	1.39221	1.39219	2.38101e-05
13	1.39223	1.39219	2.21876e-05
14	1.39215	1.39219	2.08208e-05
15	1.39209	1.39218	2.04654e-05
16	1.39221	1.39218	1.92379e-05
17	1.39218	1.39218	1.8113e-05
18	1.39216	1.39218	1.71428e-05
19	1.39207	1.39218	1.72204e-05
20	1.39214	1.39218	1.64515e-05
