#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.88014	1.88014	0
2	1.83028	1.85521	0.0176309
3	1.83873	1.84972	0.012581
4	1.87458	1.85593	0.0108632
5	1.81916	1.84858	0.0108997
6	1.8407	1.84726	0.00916171
7	1.86908	1.85038	0.0083662
8	1.86286	1.85194	0.00746451
9	1.88228	1.85531	0.00735687
10	1.83425	1.85321	0.00691601
11	1.84266	1.85225	0.00635334
12	1.8681	1.85357	0.00595971
13	1.82362	1.85126	0.00592986
14	1.86354	1.85214	0.00557078
15	1.8873	1.85449	0.00567109
16	1.87388	1.8557	0.0054446
17	1.87174	1.85664	0.00520552
18	1.84522	1.85601	0.00495485
19	1.83474	1.85489	0.00481886
20	1.84596	1.85444	0.00459856
21	1.87158	1.85526	0.00445137
22	1.82415	1.85384	0.004468
23	1.86275	1.85423	0.00429047
24	1.89358	1.85587	0.00441383
25	1.88366	1.85698	0.004375
26	1.83415	1.8561	0.00429392
27	1.8655	1.85645	0.00414896
28	1.83603	1.85572	0.00406441
29	1.84654	1.8554	0.00393657
30	1.86267	1.85565	0.0038128
31	1.8457	1.85533	0.00370327
32	1.83605	1.85472	0.00363622
33	1.8213	1.85371	0.00366436
34	1.83289	1.8531	0.00360739
35	1.84314	1.85281	0.00351553
36	1.84049	1.85247	0.00343451
37	1.83159	1.85191	0.00338772
38	1.85671	1.85203	0.00330093
39	1.8537	1.85208	0.00321657
40	1.85214	1.85208	0.00313615
41	1.83604	1.85169	0.00308396
42	1.85589	1.85179	0.00301215
43	1.85687	1.85191	0.00294442
44	1.8412	1.85166	0.00288753
45	1.86194	1.85189	0.00283238
46	1.8603	1.85207	0.00277671
47	1.83664	1.85175	0.00273697
48	1.86185	1.85196	0.00268803
49	1.90813	1.8531	0.00286726
50	1.87157	1.85347	0.0028336
51	1.83167	1.85304	0.00281009
52	1.85908	1.85316	0.00275844
53	1.84451	1.853	0.00271122
54	1.85537	1.85304	0.00266137
55	1.8972	1.85384	0.00273139
56	1.84024	1.8536	0.0026934
57	1.85556	1.85363	0.00264636
58	1.90562	1.85453	0.00274833
59	1.84108	1.8543	0.00271119
60	1.81873	1.85371	0.00273006
61	1.83992	1.85348	0.00269464
62	1.8183	1.85292	0.00271028
63	1.82979	1.85255	0.002692
64	1.83022	1.8522	0.00267246
65	1.85596	1.85226	0.00263197
66	1.86212	1.85241	0.00259633
67	1.88617	1.85291	0.00260603
68	1.82891	1.85256	0.0025915
69	1.83407	1.85229	0.00256775
70	1.82221	1.85186	0.00256678
71	1.83429	1.85161	0.00254253
72	1.83844	1.85143	0.00251379
73	1.84484	1.85134	0.00248098
74	1.85329	1.85137	0.00244759
75	1.84746	1.85131	0.00241551
76	1.85367	1.85135	0.00238393
77	1.91664	1.85219	0.00249923
78	1.87871	1.85253	0.00249019
79	1.82027	1.85213	0.00249193
80	1.87103	1.85236	0.00247196
81	1.88036	1.85271	0.00246549
82	1.893	1.8532	0.00248391
83	1.83553	1.85299	0.00246309
84	1.83417	1.85276	0.00244394
85	1.839	1.8526	0.00242054
86	1.85714	1.85265	0.00239297
87	1.83956	1.8525	0.00237019
88	1.88006	1.85282	0.00236386
89	1.85495	1.85284	0.00233742
90	1.85859	1.8529	0.00231232
91	1.8288	1.85264	0.00230204
92	1.84102	1.85251	0.00228048
93	1.83843	1.85236	0.00226097
94	1.81775	1.85199	0.0022667
95	1.84582	1.85193	0.00224377
96	1.82586	1.85166	0.00223677
97	1.85566	1.8517	0.00221409
98	1.85158	1.8517	0.0021915
99	1.85834	1.85176	0.00217039
100	1.80026	1.85125	0.00220894
