#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.427677	-0.427677	0
2	-0.377791	-0.402734	0.0176373
3	-0.386243	-0.397237	0.0125858
4	-0.422136	-0.403462	0.0108702
5	-0.366657	-0.396101	0.0109074
6	-0.388189	-0.394782	0.00916887
7	-0.416688	-0.397912	0.00837608
8	-0.410384	-0.399471	0.00747276
9	-0.429822	-0.402843	0.00736418
10	-0.381703	-0.400729	0.00692455
11	-0.390142	-0.399767	0.00636157
12	-0.415575	-0.401084	0.00596628
13	-0.371069	-0.398775	0.00593731
14	-0.411066	-0.399653	0.00557774
15	-0.434905	-0.402003	0.00567945
16	-0.421355	-0.403213	0.00545175
17	-0.419347	-0.404162	0.00521302
18	-0.392673	-0.403523	0.00496233
19	-0.382236	-0.402403	0.00482598
20	-0.393418	-0.401954	0.00460555
21	-0.419053	-0.402768	0.00445763
22	-0.371648	-0.401354	0.00447382
23	-0.410238	-0.40174	0.00429595
24	-0.441176	-0.403383	0.00442005
25	-0.431158	-0.404494	0.00438064
26	-0.381544	-0.403611	0.00430017
27	-0.412965	-0.403958	0.00415483
28	-0.383484	-0.403226	0.00407028
29	-0.394018	-0.402909	0.00394229
30	-0.410193	-0.403152	0.00381835
31	-0.393198	-0.402831	0.00370865
32	-0.383486	-0.402226	0.0036417
33	-0.36876	-0.401212	0.00366983
34	-0.380408	-0.4006	0.00361255
35	-0.390622	-0.400315	0.00352056
36	-0.38794	-0.399971	0.00343951
37	-0.379047	-0.399406	0.00339272
38	-0.404229	-0.399533	0.00330581
39	-0.40122	-0.399576	0.00322133
40	-0.399653	-0.399578	0.0031408
41	-0.383622	-0.399189	0.00308821
42	-0.403403	-0.399289	0.00301631
43	-0.404332	-0.399406	0.00294844
44	-0.388701	-0.399163	0.00289145
45	-0.409452	-0.399392	0.00283623
46	-0.407797	-0.399574	0.00278045
47	-0.384209	-0.399247	0.00274044
48	-0.409367	-0.399458	0.00269145
49	-0.455788	-0.400608	0.00287155
50	-0.419111	-0.400978	0.00283786
51	-0.379139	-0.40055	0.00281434
52	-0.406534	-0.400665	0.00276257
53	-0.391999	-0.400501	0.00271528
54	-0.402859	-0.400545	0.00266535
55	-0.444681	-0.401347	0.00273503
56	-0.387731	-0.401104	0.00269698
57	-0.402979	-0.401137	0.00264986
58	-0.453133	-0.402034	0.00275164
59	-0.38861	-0.401806	0.00271439
60	-0.366161	-0.401212	0.00273339
61	-0.387395	-0.400986	0.00269795
62	-0.365762	-0.400417	0.00271359
63	-0.377225	-0.400049	0.00269538
64	-0.377672	-0.3997	0.00267584
65	-0.403464	-0.399758	0.0026353
66	-0.409712	-0.399908	0.00259969
67	-0.433772	-0.400414	0.00260956
68	-0.376486	-0.400062	0.0025948
69	-0.381547	-0.399794	0.00257103
70	-0.369658	-0.399363	0.00257009
71	-0.381855	-0.399116	0.00254569
72	-0.385898	-0.398933	0.00251695
73	-0.392254	-0.398841	0.00248413
74	-0.400799	-0.398868	0.0024507
75	-0.394925	-0.398815	0.00241859
76	-0.401182	-0.398846	0.00238697
77	-0.464124	-0.399694	0.00250199
78	-0.426247	-0.400035	0.00249297
79	-0.367809	-0.399627	0.00249456
80	-0.41864	-0.399864	0.00247467
81	-0.42788	-0.40021	0.00246817
82	-0.440546	-0.400702	0.00248661
83	-0.382992	-0.400489	0.00246579
84	-0.381651	-0.400264	0.00244661
85	-0.386475	-0.400102	0.0024232
86	-0.404591	-0.400154	0.00239558
87	-0.387168	-0.400005	0.0023727
88	-0.427627	-0.400319	0.0023664
89	-0.402466	-0.400343	0.00233994
90	-0.406101	-0.400407	0.00231481
91	-0.376303	-0.400142	0.00230448
92	-0.38859	-0.400017	0.00228285
93	-0.385951	-0.399865	0.00226331
94	-0.365251	-0.399497	0.00226899
95	-0.393322	-0.399432	0.00224603
96	-0.373379	-0.399161	0.00223897
97	-0.40311	-0.399202	0.00221626
98	-0.39904	-0.3992	0.00219365
99	-0.405773	-0.399266	0.00217249
100	-0.347663	-0.39875	0.00221121
