#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0607672	0.0607672	0
2	0.0613045	0.0610359	0.000189966
3	0.0599095	0.0606604	0.000331679
4	0.0597869	0.0604421	0.000312488
5	0.0620356	0.0607608	0.000379146
6	0.0601443	0.060658	0.000329583
7	0.0596029	0.0605073	0.000315087
8	0.0616692	0.0606525	0.000307357
9	0.0607077	0.0606587	0.000273268
10	0.0600312	0.0605959	0.000253043
11	0.0623624	0.0607565	0.00027634
12	0.0605879	0.0607425	0.000253668
13	0.0615823	0.0608071	0.000242242
14	0.0615195	0.0608579	0.000230222
15	0.0625753	0.0609724	0.000241672
16	0.0631793	0.0611104	0.000262998
17	0.0648219	0.0613287	0.000325779
18	0.06553	0.0615621	0.000382257
19	0.0636651	0.0616728	0.000377823
20	0.0630675	0.0617425	0.000365311
