#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.21795	1.21795	0
2	1.22748	1.22271	0.00336842
3	1.20011	1.21518	0.00654918
4	1.197	1.21063	0.00629354
5	1.24208	1.21692	0.00754933
6	1.20469	1.21488	0.00656078
7	1.1934	1.21181	0.00630048
8	1.23556	1.21478	0.0061728
9	1.21557	1.21487	0.00548755
10	1.20258	1.21364	0.00507467
11	1.24889	1.21685	0.00553342
12	1.21367	1.21658	0.00507864
13	1.23307	1.21785	0.00484374
14	1.23234	1.21888	0.00460696
15	1.254	1.22122	0.00485836
16	1.2655	1.22399	0.00528432
17	1.29866	1.22838	0.00654941
18	1.31287	1.23308	0.00768562
19	1.27515	1.23529	0.00759344
20	1.26366	1.23671	0.00734505
