#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.45247	1.45247	0
2	1.45248	1.45248	6.37183e-06
3	1.45248	1.45248	4.82494e-06
4	1.45244	1.45247	8.68551e-06
5	1.4525	1.45248	8.78286e-06
6	1.45251	1.45248	9.38537e-06
7	1.45239	1.45247	1.43844e-05
8	1.45248	1.45247	1.26378e-05
9	1.45245	1.45247	1.13489e-05
10	1.45255	1.45248	1.28112e-05
11	1.45252	1.45248	1.22748e-05
12	1.45253	1.45248	1.18697e-05
13	1.45255	1.45249	1.19819e-05
14	1.45248	1.45249	1.11599e-05
15	1.45239	1.45248	1.20328e-05
16	1.45252	1.45248	1.15268e-05
17	1.4524	1.45248	1.19393e-05
18	1.45255	1.45248	1.18431e-05
19	1.4525	1.45248	1.12604e-05
20	1.45254	1.45249	1.10355e-05
21	1.45252	1.45249	1.06385e-05
22	1.4525	1.45249	1.01646e-05
23	1.45251	1.45249	9.75391e-06
24	1.4524	1.45249	1.00359e-05
25	1.4525	1.45249	9.6496e-06
26	1.45261	1.45249	1.0359e-05
27	1.45253	1.45249	1.00854e-05
28	1.45254	1.45249	9.87159e-06
29	1.45252	1.4525	9.58002e-06
30	1.45248	1.4525	9.27442e-06
31	1.4525	1.4525	8.98003e-06
32	1.45256	1.4525	8.93083e-06
33	1.45254	1.4525	8.76179e-06
34	1.45248	1.4525	8.51704e-06
35	1.45252	1.4525	8.28868e-06
36	1.45255	1.4525	8.1677e-06
37	1.45255	1.4525	8.03876e-06
38	1.45248	1.4525	7.84957e-06
39	1.45248	1.4525	7.65978e-06
40	1.45249	1.4525	7.47283e-06
41	1.45242	1.4525	7.54677e-06
42	1.45249	1.4525	7.37335e-06
43	1.45254	1.4525	7.27582e-06
44	1.4525	1.4525	7.11095e-06
45	1.45249	1.4525	6.95848e-06
46	1.45251	1.4525	6.80862e-06
47	1.45243	1.4525	6.8105e-06
48	1.45248	1.4525	6.6762e-06
49	1.45234	1.45249	7.23496e-06
50	1.45246	1.45249	7.12619e-06
51	1.45253	1.45249	7.03036e-06
52	1.45254	1.4525	6.95492e-06
53	1.45251	1.4525	6.83065e-06
54	1.45251	1.4525	6.71254e-06
55	1.45251	1.4525	6.599e-06
56	1.45251	1.4525	6.48311e-06
57	1.45258	1.4525	6.53162e-06
58	1.45249	1.4525	6.42193e-06
59	1.45247	1.4525	6.33014e-06
60	1.45257	1.4525	6.33615e-06
61	1.45253	1.4525	6.2494e-06
62	1.45254	1.4525	6.1777e-06
63	1.45257	1.4525	6.18157e-06
64	1.45254	1.4525	6.12232e-06
65	1.4525	1.4525	6.02837e-06
66	1.45241	1.4525	6.08953e-06
67	1.4524	1.4525	6.18263e-06
68	1.45242	1.4525	6.19147e-06
69	1.45253	1.4525	6.1172e-06
70	1.45255	1.4525	6.07687e-06
71	1.45244	1.4525	6.05208e-06
72	1.45254	1.4525	5.99488e-06
73	1.45258	1.4525	6.02328e-06
74	1.45249	1.4525	5.94336e-06
75	1.45254	1.4525	5.88526e-06
76	1.45249	1.4525	5.80864e-06
77	1.45251	1.4525	5.73587e-06
78	1.45246	1.4525	5.6852e-06
79	1.45246	1.4525	5.6319e-06
80	1.45239	1.4525	5.71559e-06
81	1.45248	1.4525	5.64986e-06
82	1.45245	1.4525	5.60424e-06
83	1.45253	1.4525	5.55458e-06
84	1.45252	1.4525	5.49463e-06
85	1.45252	1.4525	5.43895e-06
86	1.45254	1.4525	5.40349e-06
87	1.45239	1.4525	5.48066e-06
88	1.45243	1.4525	5.46456e-06
89	1.45248	1.4525	5.40516e-06
90	1.45249	1.4525	5.34575e-06
91	1.45249	1.4525	5.28712e-06
92	1.45243	1.4525	5.28215e-06
93	1.45248	1.45249	5.22744e-06
94	1.4525	1.4525	5.17217e-06
95	1.4525	1.4525	5.11816e-06
96	1.45248	1.45249	5.06817e-06
97	1.45255	1.4525	5.04308e-06
98	1.45254	1.4525	5.01449e-06
99	1.45256	1.4525	5.01036e-06
100	1.4526	1.4525	5.06571e-06
