#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.62736	-5.62736	0
2	-5.56379	-5.59557	0.0224745
3	-5.53731	-5.57615	0.0218167
4	-5.53601	-5.56612	0.018527
5	-5.57016	-5.56692	0.0148392
6	-5.56984	-5.56741	0.012374
7	-5.5352	-5.56281	0.0114296
8	-5.55335	-5.56163	0.010062
9	-5.54657	-5.55995	0.00908199
10	-5.54286	-5.55824	0.0083331
11	-5.55691	-5.55812	0.00757643
12	-5.56329	-5.55855	0.00695728
13	-5.53993	-5.55712	0.00656798
14	-5.58738	-5.55928	0.00644467
15	-5.53202	-5.55746	0.00626608
16	-5.54599	-5.55675	0.00591531
17	-5.57486	-5.55781	0.00566253
18	-5.53771	-5.5567	0.00545694
19	-5.54024	-5.55583	0.00523804
20	-5.54441	-5.55526	0.00500716
