#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.60358	1.60358	0
2	1.53508	1.56933	0.0242179
3	1.50834	1.549	0.0231561
4	1.51041	1.53935	0.0192731
5	1.52331	1.53615	0.0156833
6	1.54191	1.53711	0.0130989
7	1.54677	1.53849	0.0113001
8	1.53076	1.53752	0.00992885
9	1.53826	1.5376	0.00882599
10	1.50994	1.53484	0.00836568
11	1.5331	1.53468	0.00760665
12	1.52644	1.53399	0.00700365
13	1.51742	1.53272	0.00657995
14	1.55518	1.53432	0.00630256
15	1.50887	1.53263	0.00610649
16	1.55633	1.53411	0.00590186
17	1.52968	1.53385	0.00556044
18	1.54417	1.53442	0.005281
19	1.55605	1.53556	0.00512428
20	1.53572	1.53557	0.00486807
