#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.10643	1.10643	0
2	1.04378	1.0751	0.0221485
3	1.06786	1.07269	0.0148966
4	1.061	1.06977	0.0114556
5	1.03475	1.06276	0.0111013
6	1.06837	1.0637	0.00929036
7	1.08553	1.06682	0.00847062
8	1.0663	1.06675	0.00741204
9	1.05547	1.0655	0.00669363
10	1.06711	1.06566	0.0060262
11	1.06947	1.06601	0.00548831
12	1.09202	1.06817	0.00544231
13	1.08228	1.06926	0.00513063
14	1.07974	1.07001	0.00481847
15	1.07452	1.07031	0.00450661
16	1.08576	1.07127	0.00432722
17	1.07067	1.07124	0.00407282
18	1.07155	1.07126	0.00384659
19	1.06852	1.07111	0.00364684
20	1.08866	1.07199	0.00356844
