#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.915432	0.915432	0
2	0.87355	0.894491	0.0148076
3	0.890786	0.893256	0.00992309
4	0.877637	0.889351	0.00817459
5	0.889193	0.88932	0.00653974
6	0.882158	0.888126	0.00555765
7	0.879823	0.88694	0.00488863
8	0.898047	0.888328	0.00447035
9	0.887885	0.888279	0.00397392
10	0.891425	0.888593	0.00358896
11	0.88696	0.888445	0.00326576
12	0.887349	0.888354	0.00299489
13	0.892803	0.888696	0.002784
14	0.881695	0.888196	0.00262967
15	0.887648	0.888159	0.00245461
16	0.877576	0.887498	0.00238867
17	0.896685	0.888038	0.00230849
18	0.887307	0.887998	0.0021806
19	0.893208	0.888272	0.002083
20	0.917042	0.88971	0.00242522
