#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.38331	-3.38331	0
2	-3.38171	-3.38251	0.000565674
3	-3.38268	-3.38257	0.000379769
4	-3.3819	-3.3824	0.000318903
5	-3.38445	-3.38281	0.000446658
6	-3.38285	-3.38282	0.000372265
7	-3.38222	-3.38273	0.000328745
8	-3.38372	-3.38285	0.00030984
9	-3.38305	-3.38288	0.000276209
10	-3.38498	-3.38309	0.000318735
11	-3.38157	-3.38295	0.000318026
12	-3.3836	-3.383	0.000296052
13	-3.38308	-3.38301	0.000273344
14	-3.38394	-3.38308	0.000261784
15	-3.38319	-3.38308	0.000244449
16	-3.38229	-3.38303	0.000234209
17	-3.38324	-3.38305	0.000220739
18	-3.38399	-3.3831	0.000214637
19	-3.38498	-3.3832	0.000225005
20	-3.38429	-3.38325	0.000220238
