#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.64133	1.64133	0
2	1.62794	1.63464	0.00473198
3	1.65346	1.64091	0.0060165
4	1.65011	1.64321	0.00493206
5	1.63896	1.64236	0.00401822
6	1.6445	1.64272	0.00336432
7	1.62548	1.64025	0.00367615
8	1.63726	1.63988	0.00323562
9	1.63218	1.63902	0.00298711
10	1.63029	1.63815	0.0028132
11	1.64602	1.63887	0.00264691
12	1.63152	1.63825	0.00249608
13	1.63485	1.63799	0.00231773
14	1.63611	1.63786	0.00215609
15	1.6338	1.63759	0.00202924
16	1.64233	1.63788	0.00192394
17	1.63974	1.63799	0.00181387
18	1.64744	1.63852	0.00178739
19	1.64331	1.63877	0.00171099
20	1.62645	1.63815	0.00173285
21	1.63981	1.63823	0.00165214
22	1.63938	1.63829	0.00157786
23	1.64427	1.63855	0.00153059
24	1.63511	1.6384	0.00147348
25	1.63594	1.6383	0.00141783
26	1.6405	1.63839	0.00136582
27	1.62623	1.63794	0.00138749
28	1.63515	1.63784	0.00134151
29	1.63871	1.63787	0.00129559
30	1.64228	1.63802	0.00126073
31	1.64085	1.63811	0.00122337
32	1.65201	1.63854	0.00125992
33	1.64743	1.63881	0.00125018
34	1.62613	1.63844	0.0012678
35	1.63611	1.63837	0.00123332
36	1.62129	1.6379	0.00128711
37	1.63208	1.63774	0.00126189
38	1.64561	1.63795	0.00124555
39	1.63375	1.63784	0.00121825
40	1.65019	1.63815	0.00122629
41	1.62994	1.63795	0.00121259
42	1.63852	1.63796	0.0011838
43	1.64693	1.63817	0.00117451
44	1.64123	1.63824	0.00114987
45	1.63594	1.63819	0.00112546
46	1.62841	1.63798	0.00112091
47	1.65398	1.63832	0.00114762
48	1.64356	1.63843	0.0011289
49	1.64343	1.63853	0.00111047
50	1.64667	1.63869	0.00110014
51	1.63787	1.63867	0.00107868
52	1.6344	1.63859	0.00106107
53	1.64043	1.63863	0.00104161
54	1.64109	1.63867	0.00102333
55	1.6432	1.63875	0.00100803
56	1.63067	1.63861	0.00100031
57	1.63981	1.63863	0.000982979
58	1.64929	1.63882	0.000983063
59	1.64256	1.63888	0.000968448
60	1.63624	1.63883	0.000953305
61	1.63758	1.63881	0.000937898
62	1.64058	1.63884	0.000923201
63	1.63702	1.63881	0.000909
64	1.63851	1.63881	0.000894809
65	1.63707	1.63878	0.000881444
66	1.64074	1.63881	0.000868586
67	1.6448	1.6389	0.000860215
68	1.65227	1.6391	0.000869727
69	1.64785	1.63922	0.000866321
70	1.63876	1.63922	0.000853971
71	1.63972	1.63923	0.000841972
72	1.6371	1.6392	0.000830796
73	1.64263	1.63924	0.000820746
74	1.62843	1.6391	0.000822564
75	1.64393	1.63916	0.000814118
76	1.65194	1.63933	0.000820588
77	1.62852	1.63919	0.000821844
78	1.63614	1.63915	0.000812236
79	1.64152	1.63918	0.00080251
80	1.648	1.63929	0.000800015
81	1.62875	1.63916	0.000800656
82	1.63726	1.63914	0.000791226
83	1.63762	1.63912	0.000781903
84	1.64008	1.63913	0.000772679
85	1.63622	1.6391	0.000764349
86	1.63715	1.63907	0.000755797
87	1.6428	1.63912	0.000748323
88	1.6457	1.63919	0.000743547
89	1.64352	1.63924	0.000736784
90	1.62814	1.63912	0.000738843
91	1.65079	1.63924	0.000741773
92	1.64488	1.63931	0.000736232
93	1.64593	1.63938	0.000731753
94	1.63807	1.63936	0.000724101
95	1.62531	1.63921	0.000731442
96	1.63715	1.63919	0.000724138
97	1.63795	1.63918	0.000716787
98	1.63414	1.63913	0.000711318
99	1.63783	1.63912	0.000704255
100	1.64082	1.63913	0.000697418
