#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.04598	-5.04598	0
2	-5.03011	-5.03804	0.00561174
3	-5.01742	-5.03117	0.00674433
4	-5.03733	-5.03271	0.00523093
5	-5.05066	-5.0363	0.00527479
6	-5.01152	-5.03217	0.00579072
7	-4.99973	-5.02754	0.00656072
8	-5.01728	-5.02625	0.00586456
9	-5.06051	-5.03006	0.00632852
10	-5.0286	-5.02991	0.00569735
11	-5.01213	-5.0283	0.005404
12	-5.04373	-5.02958	0.00510448
13	-5.01696	-5.02861	0.00480328
14	-5.05129	-5.03023	0.00472534
15	-5.00336	-5.02844	0.00473784
16	-5.0505	-5.02982	0.00463808
17	-5.05818	-5.03149	0.00465563
18	-5.0576	-5.03294	0.00461745
19	-5.02776	-5.03267	0.00438245
20	-5.01915	-5.03199	0.00421514
