#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.09422	1.09422	0
2	1.0853	1.08976	0.00315465
3	1.10231	1.09394	0.004011
4	1.10007	1.09547	0.00328804
5	1.09264	1.09491	0.00267882
6	1.09633	1.09514	0.00224288
7	1.08365	1.0935	0.00245077
8	1.09151	1.09325	0.00215708
9	1.08812	1.09268	0.00199141
10	1.08686	1.0921	0.00187547
11	1.09735	1.09258	0.0017646
12	1.08768	1.09217	0.00166405
13	1.0899	1.092	0.00154515
14	1.09074	1.09191	0.00143739
15	1.0892	1.09173	0.00135282
16	1.09489	1.09192	0.00128262
17	1.09316	1.092	0.00120925
18	1.09829	1.09235	0.00119159
19	1.09554	1.09251	0.00114066
20	1.0843	1.0921	0.00115523
21	1.09321	1.09216	0.00110142
22	1.09292	1.09219	0.00105191
23	1.09618	1.09236	0.0010204
24	1.09008	1.09227	0.000982321
25	1.09063	1.0922	0.000945222
26	1.09367	1.09226	0.000910546
27	1.08415	1.09196	0.000924995
28	1.0901	1.09189	0.000894343
29	1.09248	1.09191	0.00086373
30	1.09485	1.09201	0.000840487
31	1.0939	1.09207	0.000815578
32	1.10134	1.09236	0.000839945
33	1.09829	1.09254	0.000833457
34	1.08409	1.09229	0.0008452
35	1.09074	1.09225	0.000822215
36	1.08086	1.09193	0.000858071
37	1.08805	1.09183	0.000841262
38	1.09707	1.09196	0.000830364
39	1.08917	1.09189	0.000812164
40	1.10013	1.0921	0.000817524
41	1.08663	1.09197	0.000808394
42	1.09235	1.09197	0.000789198
43	1.09796	1.09211	0.000783005
44	1.09415	1.09216	0.000766583
45	1.09063	1.09213	0.000750304
46	1.0856	1.09198	0.00074727
47	1.10265	1.09221	0.000765083
48	1.09571	1.09228	0.0007526
49	1.09562	1.09235	0.000740311
50	1.09778	1.09246	0.000733424
51	1.09191	1.09245	0.000719122
52	1.0896	1.09239	0.00070738
53	1.09362	1.09242	0.000694409
54	1.09406	1.09245	0.000682218
55	1.09547	1.0925	0.000672017
56	1.08711	1.09241	0.000666872
57	1.09321	1.09242	0.000655319
58	1.09953	1.09254	0.000655375
59	1.09504	1.09259	0.000645632
60	1.09083	1.09256	0.000635537
61	1.09172	1.09254	0.000625265
62	1.09372	1.09256	0.000615467
63	1.09135	1.09254	0.000606
64	1.09234	1.09254	0.000596539
65	1.09138	1.09252	0.000587629
66	1.09382	1.09254	0.000579058
67	1.09654	1.0926	0.000573477
68	1.10151	1.09273	0.000579818
69	1.09857	1.09282	0.000577547
70	1.09251	1.09281	0.000569314
71	1.09315	1.09282	0.000561315
72	1.0914	1.0928	0.000553864
73	1.09509	1.09283	0.000547164
74	1.08562	1.09273	0.000548376
75	1.09595	1.09277	0.000542746
76	1.10129	1.09289	0.000547059
77	1.08568	1.09279	0.000547896
78	1.09076	1.09277	0.000541491
79	1.09435	1.09279	0.000535007
80	1.09867	1.09286	0.000533344
81	1.08583	1.09277	0.000533771
82	1.09151	1.09276	0.000527484
83	1.09175	1.09275	0.000521269
84	1.09339	1.09275	0.00051512
85	1.09081	1.09273	0.000509566
86	1.09143	1.09272	0.000503865
87	1.0952	1.09274	0.000498882
88	1.09713	1.09279	0.000495698
89	1.09568	1.09283	0.000491189
90	1.08543	1.09274	0.000492562
91	1.10053	1.09283	0.000494516
92	1.09658	1.09287	0.000490821
93	1.09729	1.09292	0.000487835
94	1.09204	1.09291	0.000482734
95	1.08354	1.09281	0.000487628
96	1.09144	1.0928	0.000482759
97	1.09196	1.09279	0.000477858
98	1.08942	1.09275	0.000474212
99	1.09189	1.09274	0.000469503
100	1.09388	1.09276	0.000464945
