#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.38356	-3.38356	0
2	-3.38284	-3.3832	0.000256166
3	-3.38254	-3.38298	0.000248588
4	-3.3845	-3.38336	0.000377555
5	-3.38293	-3.38327	0.000311601
6	-3.38281	-3.3832	0.000269267
7	-3.38241	-3.38308	0.000253159
8	-3.38438	-3.38325	0.000268551
9	-3.38418	-3.38335	0.00025793
10	-3.38443	-3.38346	0.000253933
11	-3.38491	-3.38359	0.000262767
12	-3.38366	-3.3836	0.000240939
13	-3.38099	-3.3834	0.000294028
14	-3.38213	-3.3833	0.000286689
15	-3.38279	-3.38327	0.000269625
16	-3.38284	-3.38324	0.000254121
17	-3.3829	-3.38322	0.000239976
18	-3.38255	-3.38319	0.000229501
19	-3.38373	-3.38321	0.000219187
20	-3.38267	-3.38319	0.000209933
