#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	0.615581	0.615581	0
2	0.610657	0.613119	0.00174097
3	0.617114	0.61445	0.00159035
4	0.615292	0.614661	0.00120661
5	0.611269	0.613982	0.00114015
6	0.61478	0.614115	0.000957848
7	0.613135	0.613975	0.000831197
8	0.6145	0.614041	0.000729882
9	0.615873	0.614245	0.000676583
10	0.613264	0.614147	0.000615983
11	0.613456	0.614084	0.000563171
12	0.613602	0.614044	0.000517671
13	0.612743	0.613944	0.000487423
14	0.61393	0.613943	0.000452608
15	0.613589	0.613919	0.000423046
16	0.613878	0.613916	0.000396614
17	0.612047	0.613807	0.000388236
18	0.616847	0.613975	0.000401729
19	0.611692	0.613855	0.000398152
20	0.614803	0.613903	0.000381051
