#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-7.19752	-7.19752	0
2	-7.19581	-7.19667	0.000604943
3	-7.19485	-7.19606	0.000637414
4	-7.1992	-7.19685	0.000830632
5	-7.19541	-7.19656	0.000712682
6	-7.19652	-7.19655	0.000593937
7	-7.19639	-7.19653	0.000509549
8	-7.19448	-7.19627	0.00050604
9	-7.19715	-7.19637	0.000459168
10	-7.19578	-7.19631	0.000416984
11	-7.19554	-7.19624	0.000384886
12	-7.19818	-7.1964	0.000385221
13	-7.19684	-7.19644	0.000357079
14	-7.19451	-7.1963	0.000357026
15	-7.19775	-7.1964	0.000346018
16	-7.19701	-7.19643	0.000326502
17	-7.19862	-7.19656	0.000331597
18	-7.19511	-7.19648	0.000322823
19	-7.19878	-7.1966	0.000327743
20	-7.20125	-7.19684	0.000385016
