#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.503403	0.503403	0
2	0.503017	0.50321	0.000136766
3	0.502604	0.503008	0.000188486
4	0.505211	0.503559	0.000497488
5	0.50269	0.503385	0.000427235
6	0.503372	0.503383	0.000356035
7	0.503296	0.50337	0.000305391
8	0.502425	0.503252	0.000289177
9	0.504077	0.503344	0.000271186
10	0.503208	0.50333	0.000244409
11	0.502689	0.503272	0.000229037
12	0.504754	0.503396	0.000240935
13	0.502958	0.503362	0.000224745
14	0.502209	0.503279	0.00022328
15	0.504475	0.503359	0.000222155
16	0.503457	0.503365	0.000208355
17	0.50432	0.503421	0.000203528
18	0.502913	0.503393	0.000194169
19	0.504123	0.503432	0.000187706
20	0.505378	0.503529	0.000201974
