#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.409133	0.409133	0
2	0.408816	0.408975	0.000112206
3	0.408382	0.408777	0.00017795
4	0.410852	0.409296	0.000468635
5	0.408484	0.409133	0.000402072
6	0.409232	0.40915	0.000335398
7	0.409095	0.409142	0.000287575
8	0.408194	0.409023	0.000274974
9	0.409827	0.409113	0.000258507
10	0.409032	0.409105	0.000232781
11	0.408504	0.40905	0.00021793
12	0.410479	0.409169	0.000229992
13	0.408709	0.409134	0.000215009
14	0.407994	0.409052	0.000214502
15	0.410216	0.40913	0.000213778
16	0.409232	0.409136	0.000200511
17	0.409994	0.409187	0.00019496
18	0.408603	0.409154	0.000186806
19	0.409809	0.409189	0.00018012
20	0.410999	0.409279	0.000192524
