#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-6.58382	-6.58382	0
2	-6.58259	-6.5832	0.000436634
3	-6.58228	-6.5829	0.000384631
4	-6.58292	-6.5829	0.000288525
5	-6.58268	-6.58286	0.000234203
6	-6.58267	-6.58283	0.000197316
7	-6.58275	-6.58281	0.000169471
8	-6.58219	-6.58274	0.000165298
9	-6.58241	-6.5827	0.000150823
10	-6.58223	-6.58265	0.000142774
11	-6.58279	-6.58267	0.000130301
12	-6.58246	-6.58265	0.000120549
13	-6.58378	-6.58274	0.000139194
14	-6.58252	-6.58272	0.00013009
15	-6.58242	-6.5827	0.000122931
16	-6.58316	-6.58273	0.000118555
17	-6.58363	-6.58278	0.000122763
18	-6.58221	-6.58275	0.000120032
19	-6.58407	-6.58282	0.000132265
20	-6.58475	-6.58292	0.000157
