#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.743312	0.743312	0
2	0.743772	0.743542	0.000162622
3	0.742037	0.74304	0.000423619
4	0.743226	0.743087	0.00032025
5	0.745983	0.743666	0.000577962
6	0.742421	0.743459	0.000517563
7	0.743356	0.743444	0.000443833
8	0.745708	0.743727	0.000470016
9	0.739261	0.743231	0.000627195
10	0.745773	0.743485	0.000613858
11	0.741341	0.74329	0.000588174
12	0.744372	0.74338	0.000546022
13	0.742054	0.743278	0.000513456
14	0.745449	0.743433	0.000499652
15	0.744321	0.743493	0.000469836
16	0.742296	0.743418	0.000446381
17	0.743225	0.743406	0.000420268
18	0.74348	0.743411	0.000396939
19	0.743547	0.743418	0.000376113
20	0.745941	0.743544	0.000377875
