#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.613873	0.613873	0
2	0.614268	0.61407	0.000139317
3	0.612649	0.613597	0.000397856
4	0.613829	0.613655	0.000302592
5	0.616551	0.614234	0.000571896
6	0.61304	0.614035	0.000510054
7	0.614004	0.614031	0.000437207
8	0.616293	0.614313	0.000465094
9	0.610057	0.61384	0.000608075
10	0.616372	0.614094	0.00059764
11	0.61195	0.613899	0.000574187
12	0.614982	0.613989	0.000533392
13	0.612619	0.613884	0.000502663
14	0.615931	0.61403	0.000487558
15	0.614903	0.614088	0.000458512
16	0.61292	0.614015	0.000435623
17	0.613867	0.614006	0.000410085
18	0.614007	0.614006	0.000387303
19	0.61403	0.614008	0.00036692
20	0.616491	0.614132	0.000368994
