#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.06818	1.06818	0
2	1.07177	1.06997	0.00126907
3	1.06552	1.06849	0.0014794
4	1.07088	1.06909	0.0012242
5	1.07076	1.06942	0.00102438
6	1.06559	1.06878	0.00103362
7	1.07317	1.06941	0.00105907
8	1.07183	1.06971	0.000968789
9	1.06558	1.06925	0.000963732
10	1.06744	1.06907	0.000884241
11	1.07251	1.06938	0.000857316
12	1.06505	1.06902	0.000858554
13	1.07361	1.06938	0.000862044
14	1.07041	1.06945	0.000803651
15	1.06873	1.0694	0.000751515
16	1.07025	1.06945	0.000706406
17	1.06634	1.06927	0.000688232
18	1.0689	1.06925	0.000650307
19	1.06925	1.06925	0.000616081
20	1.06592	1.06908	0.000607365
