#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-6.67084	-6.67084	0
2	-6.6756	-6.67322	0.00168244
3	-6.67578	-6.67407	0.00132019
4	-6.67961	-6.67545	0.0015549
5	-6.67041	-6.67445	0.00153693
6	-6.67164	-6.67398	0.00135008
7	-6.67497	-6.67412	0.00116463
8	-6.67166	-6.67381	0.00105895
9	-6.67488	-6.67393	0.000947962
10	-6.6675	-6.67329	0.00104907
11	-6.67462	-6.67341	0.000960645
12	-6.67174	-6.67327	0.000890636
13	-6.6793	-6.67373	0.000935051
14	-6.6721	-6.67362	0.000875477
15	-6.66959	-6.67335	0.000857287
16	-6.67763	-6.67362	0.00084454
17	-6.68137	-6.67407	0.000909887
18	-6.66728	-6.67369	0.00093433
19	-6.67331	-6.67367	0.000885377
20	-6.66718	-6.67335	0.000898655
