#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-5.46506	-5.46506	0
2	-5.46364	-5.46435	0.000502069
3	-5.46407	-5.46426	0.000342987
4	-5.46425	-5.46425	0.00025725
5	-5.46466	-5.46434	0.000218529
6	-5.46512	-5.46447	0.000217398
7	-5.46414	-5.46442	0.000191139
8	-5.46403	-5.46437	0.000173428
9	-5.46397	-5.46433	0.000159741
10	-5.46422	-5.46432	0.000144093
11	-5.46488	-5.46437	0.000139755
12	-5.4652	-5.46444	0.000144462
13	-5.46412	-5.46441	0.000135429
14	-5.46358	-5.46435	0.000138224
15	-5.46421	-5.46434	0.000129317
16	-5.46368	-5.4643	0.000127637
17	-5.46481	-5.46433	0.000123624
18	-5.46307	-5.46426	0.000135121
19	-5.46445	-5.46427	0.000128381
20	-5.46504	-5.46431	0.000127641
