#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.20218	1.20218	0
2	1.1949	1.19854	0.00257371
3	1.19163	1.19624	0.00254566
4	1.19415	1.19571	0.00196201
5	1.19669	1.19591	0.00157937
6	1.19951	1.19651	0.00142528
7	1.20176	1.19726	0.00140492
8	1.19871	1.19744	0.00124103
9	1.19499	1.19717	0.00113259
10	1.19893	1.19735	0.00103294
11	1.19846	1.19745	0.000944009
12	1.19854	1.19754	0.000869754
13	1.1886	1.19685	0.00103973
14	1.19845	1.19696	0.00097168
15	1.1968	1.19695	0.000906963
16	1.19771	1.197	0.000851525
17	1.19395	1.19682	0.000820093
18	1.20099	1.19705	0.000806609
19	1.19417	1.1969	0.00077826
20	1.19679	1.1969	0.000739366
