#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-6.66377	-6.66377	0
2	-6.66411	-6.66394	0.000119687
3	-6.66236	-6.66341	0.000437315
4	-6.66329	-6.66338	0.000329051
5	-6.66129	-6.66296	0.000456761
6	-6.66135	-6.66269	0.000453114
7	-6.66293	-6.66273	0.000389629
8	-6.66212	-6.66265	0.000348242
9	-6.6634	-6.66274	0.000319349
10	-6.66338	-6.6628	0.000293789
11	-6.66432	-6.66294	0.00029774
12	-6.66255	-6.66291	0.000274682
13	-6.66287	-6.6629	0.000253567
14	-6.66262	-6.66288	0.000236278
15	-6.66255	-6.66286	0.000221568
16	-6.66215	-6.66282	0.000212157
17	-6.66374	-6.66287	0.000206533
18	-6.66302	-6.66288	0.000195238
19	-6.66103	-6.66278	0.000207879
20	-6.66304	-6.66279	0.000197896
21	-6.66234	-6.66277	0.000189642
22	-6.66261	-6.66276	0.000181167
23	-6.66058	-6.66267	0.000196539
24	-6.66377	-6.66272	0.000193662
25	-6.66161	-6.66267	0.000190859
26	-6.66396	-6.66272	0.000189823
27	-6.66262	-6.66272	0.000182832
28	-6.66273	-6.66272	0.000176302
29	-6.66341	-6.66274	0.000171841
30	-6.6608	-6.66268	0.000177872
31	-6.66362	-6.66271	0.000174727
32	-6.66157	-6.66267	0.000172832
33	-6.66272	-6.66267	0.000167602
34	-6.66313	-6.66269	0.0001632
35	-6.66217	-6.66267	0.000159215
36	-6.66287	-6.66268	0.000154889
37	-6.6623	-6.66267	0.000151034
38	-6.66258	-6.66267	0.000147078
39	-6.66329	-6.66268	0.000144168
40	-6.66282	-6.66268	0.000140607
41	-6.66302	-6.66269	0.000137417
42	-6.66049	-6.66264	0.000143839
43	-6.66097	-6.6626	0.000145621
44	-6.66056	-6.66256	0.000149494
45	-6.66344	-6.66257	0.000147445
46	-6.66271	-6.66258	0.000144269
47	-6.66193	-6.66256	0.00014186
48	-6.66369	-6.66259	0.000140816
49	-6.6645	-6.66263	0.000143245
50	-6.6637	-6.66265	0.00014197
51	-6.66153	-6.66263	0.000140853
52	-6.6623	-6.66262	0.000138281
53	-6.66375	-6.66264	0.000137301
54	-6.66176	-6.66262	0.000135732
55	-6.66313	-6.66263	0.00013358
56	-6.66341	-6.66265	0.00013191
57	-6.66241	-6.66264	0.00012966
58	-6.66263	-6.66264	0.000127425
59	-6.66352	-6.66266	0.000126133
60	-6.66375	-6.66268	0.000125328
61	-6.66314	-6.66268	0.000123502
62	-6.6623	-6.66268	0.000121662
63	-6.66356	-6.66269	0.000120529
64	-6.66204	-6.66268	0.000119076
65	-6.66383	-6.6627	0.000118549
66	-6.66338	-6.66271	0.000117197
67	-6.66188	-6.6627	0.000116108
68	-6.6621	-6.66269	0.000114731
69	-6.66465	-6.66272	0.000116532
70	-6.66088	-6.66269	0.000117792
71	-6.66307	-6.6627	0.000116255
72	-6.66138	-6.66268	0.000116072
73	-6.6631	-6.66268	0.000114624
74	-6.66181	-6.66267	0.000113679
75	-6.66387	-6.66269	0.000113276
76	-6.66297	-6.66269	0.000111848
77	-6.66169	-6.66268	0.000111145
78	-6.66373	-6.66269	0.00011054
79	-6.66246	-6.66269	0.000109179
80	-6.664	-6.66271	0.000109034
81	-6.66272	-6.66271	0.000107689
82	-6.66276	-6.66271	0.000106377
83	-6.66291	-6.66271	0.000105125
84	-6.66352	-6.66272	0.000104319
85	-6.66267	-6.66272	0.000103093
86	-6.66138	-6.6627	0.000103061
87	-6.66265	-6.6627	0.000101878
88	-6.66407	-6.66272	0.000101892
89	-6.66382	-6.66273	0.000101492
90	-6.66224	-6.66272	0.000100512
91	-6.6629	-6.66273	9.94258e-05
92	-6.66244	-6.66272	9.83941e-05
93	-6.66268	-6.66272	9.73372e-05
94	-6.66246	-6.66272	9.63412e-05
95	-6.66159	-6.66271	9.60541e-05
96	-6.66381	-6.66272	9.57311e-05
97	-6.66191	-6.66271	9.51108e-05
98	-6.66352	-6.66272	9.44978e-05
99	-6.66272	-6.66272	9.35433e-05
100	-6.66471	-6.66274	9.47111e-05
