#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.959582	0.959582	0
2	0.959837	0.959709	9.02849e-05
3	0.958687	0.959368	0.000284817
4	0.959509	0.959404	0.000215771
5	0.957981	0.959119	0.000307542
6	0.958297	0.958982	0.000285168
7	0.959424	0.959045	0.000251331
8	0.958672	0.958999	0.000224193
9	0.959545	0.959059	0.000207342
10	0.959463	0.9591	0.000190503
11	0.960202	0.9592	0.000197802
12	0.958861	0.959172	0.000183318
13	0.959041	0.959162	0.000169492
14	0.959121	0.959159	0.000157411
15	0.95878	0.959133	0.000148933
16	0.958778	0.959111	0.000141268
17	0.959526	0.959136	0.000135053
18	0.959231	0.959141	0.000127653
19	0.957984	0.95908	0.000134675
20	0.959166	0.959084	0.000128011
21	0.958737	0.959068	0.000122981
22	0.959059	0.959067	0.000117391
23	0.957354	0.958993	0.000133859
24	0.959607	0.959019	0.000130705
25	0.95826	0.958988	0.000128953
26	0.959705	0.959016	0.000126907
27	0.958802	0.959008	0.000122454
28	0.959031	0.959009	0.000118083
29	0.959305	0.959019	0.000114451
30	0.957886	0.958981	0.000116696
31	0.959594	0.959001	0.000114595
32	0.958145	0.958974	0.000114094
33	0.958811	0.958969	0.000110744
34	0.959234	0.958977	0.000107759
35	0.958815	0.958972	0.00010478
36	0.958949	0.958972	0.000101872
37	0.958829	0.958968	9.91914e-05
38	0.958761	0.958962	9.67304e-05
39	0.959172	0.958968	9.4399e-05
40	0.959085	0.958971	9.20848e-05
41	0.959168	0.958976	8.99641e-05
42	0.957387	0.958938	9.54463e-05
43	0.957659	0.958908	9.77481e-05
44	0.957698	0.95888	9.93162e-05
45	0.959546	0.958895	9.82054e-05
46	0.959052	0.958899	9.61297e-05
47	0.958403	0.958888	9.46607e-05
48	0.959433	0.958899	9.3367e-05
49	0.960229	0.958927	9.53214e-05
50	0.959514	0.958938	9.41354e-05
51	0.958068	0.958921	9.38224e-05
52	0.95877	0.958918	9.20635e-05
53	0.959456	0.958929	9.08836e-05
54	0.958154	0.958914	9.03242e-05
55	0.959126	0.958918	8.87641e-05
56	0.958956	0.958919	8.71816e-05
57	0.95862	0.958913	8.58099e-05
58	0.958794	0.958911	8.43552e-05
59	0.959376	0.958919	8.32924e-05
60	0.959475	0.958929	8.24171e-05
61	0.959233	0.958934	8.12169e-05
62	0.958509	0.958927	8.01948e-05
63	0.959559	0.958937	7.95481e-05
64	0.958527	0.95893	7.85627e-05
65	0.959583	0.95894	7.79938e-05
66	0.959156	0.958944	7.68804e-05
67	0.958447	0.958936	7.6089e-05
68	0.95808	0.958924	7.60046e-05
69	0.95987	0.958937	7.61314e-05
70	0.957753	0.95892	7.68997e-05
71	0.959234	0.958925	7.59432e-05
72	0.958118	0.958914	7.57103e-05
73	0.959247	0.958918	7.48104e-05
74	0.958426	0.958912	7.40945e-05
75	0.959724	0.958922	7.38945e-05
76	0.959026	0.958924	7.29347e-05
77	0.958244	0.958915	7.25191e-05
78	0.959491	0.958922	7.19647e-05
79	0.958547	0.958918	7.12101e-05
80	0.959548	0.958925	7.07545e-05
81	0.958942	0.958926	6.98813e-05
82	0.958503	0.958921	6.92186e-05
83	0.95895	0.958921	6.83856e-05
84	0.959028	0.958922	6.75833e-05
85	0.95875	0.95892	6.68187e-05
86	0.957958	0.958909	6.69713e-05
87	0.958735	0.958907	6.62312e-05
88	0.959484	0.958913	6.5802e-05
89	0.959324	0.958918	6.52244e-05
90	0.958496	0.958913	6.46682e-05
91	0.959117	0.958916	6.39962e-05
92	0.958746	0.958914	6.33271e-05
93	0.958649	0.958911	6.27103e-05
94	0.958568	0.958907	6.21494e-05
95	0.958082	0.958899	6.20996e-05
96	0.95961	0.958906	6.18934e-05
97	0.958234	0.958899	6.16424e-05
98	0.959346	0.958904	6.11816e-05
99	0.958809	0.958903	6.05711e-05
100	0.960085	0.958915	6.11077e-05
