#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.799038	0.799038	0
2	0.799299	0.799168	9.22312e-05
3	0.798149	0.798829	0.000284246
4	0.798888	0.798843	0.000213567
5	0.797436	0.798562	0.000304315
6	0.797726	0.798422	0.000283709
7	0.798771	0.798472	0.000247508
8	0.798084	0.798424	0.000221278
9	0.798989	0.798486	0.000205426
10	0.798824	0.79852	0.000187638
11	0.799596	0.798618	0.0001944
12	0.798375	0.798598	0.000179251
13	0.798479	0.798589	0.000165694
14	0.798495	0.798582	0.000153993
15	0.798259	0.79856	0.000145226
16	0.798224	0.798539	0.000137662
17	0.799025	0.798568	0.000132498
18	0.798522	0.798565	0.000125161
19	0.797447	0.798507	0.000131689
20	0.798575	0.79851	0.000125149
21	0.798216	0.798496	0.00011997
22	0.798438	0.798493	0.000114546
23	0.796845	0.798422	0.000130064
24	0.799056	0.798448	0.000127301
25	0.79768	0.798417	0.000125864
26	0.799064	0.798442	0.000123458
27	0.79831	0.798437	0.000118982
28	0.798388	0.798436	0.000114745
29	0.798732	0.798446	0.000111244
30	0.797323	0.798408	0.000113661
31	0.798954	0.798426	0.000111349
32	0.797586	0.7984	0.000110924
33	0.798226	0.798395	0.000107688
34	0.798669	0.798403	0.000104823
35	0.798261	0.798399	0.000101906
36	0.798447	0.7984	9.90839e-05
37	0.79823	0.798395	9.65119e-05
38	0.798221	0.798391	9.40816e-05
39	0.798604	0.798396	9.18283e-05
40	0.798464	0.798398	8.9548e-05
41	0.798595	0.798403	8.74924e-05
42	0.796875	0.798366	9.26658e-05
43	0.797086	0.798337	9.5172e-05
44	0.797195	0.798311	9.6481e-05
45	0.798949	0.798325	9.53728e-05
46	0.798513	0.798329	9.33875e-05
47	0.797886	0.798319	9.18755e-05
48	0.798823	0.79833	9.05576e-05
49	0.799582	0.798355	9.22454e-05
50	0.798945	0.798367	9.1151e-05
51	0.797526	0.798351	9.08438e-05
52	0.798221	0.798348	8.91313e-05
53	0.798909	0.798359	8.80753e-05
54	0.797609	0.798345	8.75334e-05
55	0.798551	0.798349	8.60219e-05
56	0.798447	0.79835	8.45038e-05
57	0.798074	0.798346	8.31598e-05
58	0.798138	0.798342	8.1803e-05
59	0.798788	0.79835	8.07652e-05
60	0.798858	0.798358	7.98628e-05
61	0.798668	0.798363	7.87148e-05
62	0.797985	0.798357	7.76815e-05
63	0.799011	0.798367	7.71385e-05
64	0.79798	0.798361	7.617e-05
65	0.799011	0.798371	7.56514e-05
66	0.798574	0.798374	7.45672e-05
67	0.797982	0.798369	7.36843e-05
68	0.79759	0.798357	7.34843e-05
69	0.799316	0.798371	7.37226e-05
70	0.797305	0.798356	7.42259e-05
71	0.798663	0.79836	7.33061e-05
72	0.797571	0.798349	7.31034e-05
73	0.798647	0.798353	7.22159e-05
74	0.797913	0.798347	7.14848e-05
75	0.799062	0.798357	7.11646e-05
76	0.798413	0.798358	7.02321e-05
77	0.797719	0.798349	6.98083e-05
78	0.798891	0.798356	6.9258e-05
79	0.798051	0.798352	6.84893e-05
80	0.798982	0.79836	6.80844e-05
81	0.79842	0.798361	6.72478e-05
82	0.797967	0.798356	6.65987e-05
83	0.798348	0.798356	6.57963e-05
84	0.798473	0.798357	6.50278e-05
85	0.798115	0.798355	6.43253e-05
86	0.797436	0.798344	6.44575e-05
87	0.798181	0.798342	6.37436e-05
88	0.798885	0.798348	6.33173e-05
89	0.798768	0.798353	6.27815e-05
90	0.797967	0.798349	6.22303e-05
91	0.798577	0.798351	6.15971e-05
92	0.798202	0.79835	6.09488e-05
93	0.798132	0.798347	6.03382e-05
94	0.797958	0.798343	5.9838e-05
95	0.797526	0.798334	5.9823e-05
96	0.798955	0.798341	5.95483e-05
97	0.797685	0.798334	5.93176e-05
98	0.798743	0.798338	5.88586e-05
99	0.798225	0.798337	5.82751e-05
100	0.799409	0.798348	5.8669e-05
