#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-5.46521	-5.46521	0
2	-5.46516	-5.46519	1.86603e-05
3	-5.46514	-5.46517	1.85061e-05
4	-5.46496	-5.46512	4.76724e-05
5	-5.46514	-5.46512	3.83982e-05
6	-5.46476	-5.46506	6.36527e-05
7	-5.46477	-5.46502	6.64882e-05
8	-5.465	-5.46502	5.82494e-05
9	-5.46492	-5.46501	5.28097e-05
10	-5.46514	-5.46502	4.92283e-05
11	-5.46492	-5.46501	4.55103e-05
12	-5.46499	-5.46501	4.17619e-05
13	-5.46515	-5.46502	3.99398e-05
14	-5.46487	-5.46501	3.84262e-05
15	-5.46516	-5.46502	3.71681e-05
16	-5.46481	-5.46501	3.70657e-05
17	-5.4652	-5.46502	3.66328e-05
18	-5.46524	-5.46503	3.66414e-05
19	-5.46486	-5.46502	3.58467e-05
20	-5.46518	-5.46503	3.49274e-05
21	-5.46502	-5.46503	3.32687e-05
22	-5.46495	-5.46502	3.19345e-05
23	-5.46532	-5.46504	3.29684e-05
24	-5.46519	-5.46504	3.2206e-05
25	-5.4651	-5.46505	3.09829e-05
26	-5.46536	-5.46506	3.20864e-05
27	-5.46515	-5.46506	3.10854e-05
28	-5.46515	-5.46506	3.01226e-05
29	-5.46531	-5.46507	3.02849e-05
30	-5.46482	-5.46506	3.04529e-05
31	-5.46519	-5.46507	2.97432e-05
32	-5.46519	-5.46507	2.90706e-05
33	-5.46539	-5.46508	2.9696e-05
34	-5.46512	-5.46508	2.8847e-05
35	-5.46477	-5.46507	2.93424e-05
36	-5.4652	-5.46508	2.87356e-05
37	-5.46496	-5.46507	2.81444e-05
38	-5.46525	-5.46508	2.77717e-05
39	-5.46538	-5.46509	2.81156e-05
40	-5.46513	-5.46509	2.74311e-05
41	-5.46513	-5.46509	2.67803e-05
42	-5.46517	-5.46509	2.62197e-05
43	-5.46534	-5.4651	2.62651e-05
44	-5.46477	-5.46509	2.6688e-05
45	-5.46501	-5.46509	2.615e-05
46	-5.46494	-5.46508	2.5772e-05
47	-5.4651	-5.46508	2.52258e-05
48	-5.46545	-5.46509	2.58332e-05
49	-5.46513	-5.46509	2.53149e-05
50	-5.46528	-5.4651	2.5079e-05
51	-5.46525	-5.4651	2.47565e-05
52	-5.46497	-5.4651	2.44019e-05
53	-5.46538	-5.4651	2.45352e-05
54	-5.46534	-5.46511	2.44829e-05
55	-5.46531	-5.46511	2.43092e-05
56	-5.46574	-5.46512	2.63302e-05
57	-5.4653	-5.46513	2.60556e-05
58	-5.46543	-5.46513	2.61142e-05
59	-5.46534	-5.46513	2.59126e-05
60	-5.46546	-5.46514	2.60409e-05
61	-5.46514	-5.46514	2.56141e-05
62	-5.46533	-5.46514	2.53791e-05
63	-5.46504	-5.46514	2.50272e-05
64	-5.46507	-5.46514	2.46616e-05
65	-5.46531	-5.46514	2.44275e-05
66	-5.46552	-5.46515	2.47083e-05
67	-5.4649	-5.46514	2.46091e-05
68	-5.46572	-5.46515	2.56398e-05
69	-5.46567	-5.46516	2.63572e-05
70	-5.46492	-5.46516	2.62029e-05
71	-5.46508	-5.46516	2.58575e-05
72	-5.46502	-5.46515	2.55649e-05
73	-5.46513	-5.46515	2.52178e-05
74	-5.46494	-5.46515	2.50379e-05
75	-5.46527	-5.46515	2.47582e-05
76	-5.46535	-5.46516	2.45734e-05
77	-5.46511	-5.46515	2.42599e-05
78	-5.4654	-5.46516	2.41477e-05
79	-5.46539	-5.46516	2.40163e-05
80	-5.46553	-5.46517	2.41445e-05
81	-5.46509	-5.46516	2.38636e-05
82	-5.46581	-5.46517	2.48236e-05
83	-5.46539	-5.46517	2.4664e-05
84	-5.46581	-5.46518	2.55156e-05
85	-5.4655	-5.46519	2.54846e-05
86	-5.46523	-5.46519	2.51925e-05
87	-5.46538	-5.46519	2.49988e-05
88	-5.46574	-5.46519	2.54823e-05
89	-5.46566	-5.4652	2.57342e-05
90	-5.46529	-5.4652	2.54662e-05
91	-5.46503	-5.4652	2.52541e-05
92	-5.46514	-5.4652	2.49891e-05
93	-5.46548	-5.4652	2.49021e-05
94	-5.46552	-5.46521	2.48729e-05
95	-5.4653	-5.46521	2.4633e-05
96	-5.46537	-5.46521	2.4437e-05
97	-5.46538	-5.46521	2.42486e-05
98	-5.46541	-5.46521	2.40837e-05
99	-5.46538	-5.46521	2.38993e-05
100	-5.4656	-5.46522	2.39729e-05
