#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
32	1.29243	0.0403885	0.0397524
33	1.26838	0.0776004	0.0531855
34	1.28838	0.113212	0.0624148
35	1.29399	0.146948	0.0691507
36	1.24732	0.177514	0.0736761
37	1.29964	0.207842	0.0776765
38	1.27204	0.235847	0.0805227
39	1.30851	0.263351	0.0830225
40	1.2953	0.28915	0.0848607
41	1.24395	0.312438	0.0859269
42	1.30027	0.335958	0.0870405
43	1.28712	0.358077	0.087782
44	1.27864	0.378999	0.088245
45	1.29389	0.39933	0.0885951
46	1.28602	0.418606	0.0887413
47	1.28545	0.43705	0.0887491
48	1.28925	0.454804	0.0886582
49	1.28328	0.471711	0.0884464
50	1.29181	0.488113	0.0881852
51	1.27128	0.50347	0.0877829
52	1.27353	0.518278	0.0873349
53	1.29561	0.532945	0.0869099
54	1.28169	0.546811	0.0863995
55	1.29159	0.560352	0.0858832
56	1.2631	0.572901	0.0852614
57	1.29279	0.585531	0.0846959
58	1.30286	0.597899	0.0841338
59	1.25192	0.608984	0.0834348
60	1.3053	0.620589	0.0828475
61	1.30433	0.631798	0.0822441
62	1.26263	0.641973	0.0815445
63	1.28514	0.652182	0.0808867
64	1.26727	0.661793	0.0801917
65	1.28961	0.671451	0.0795376
66	1.27096	0.680535	0.0788494
67	1.31439	0.689995	0.0782381
68	1.30744	0.699075	0.0776126
69	1.2561	0.707148	0.0769065
70	1.29207	0.715504	0.0762604
71	1.2644	0.723235	0.0755772
72	1.30156	0.731267	0.0749531
73	1.29342	0.738968	0.0743209
74	1.29463	0.746477	0.0736949
75	1.26525	0.753394	0.0730362
76	1.29614	0.760535	0.0724235
77	1.28182	0.767305	0.0717987
78	1.28533	0.773947	0.0711847
79	1.29835	0.780585	0.0705924
80	1.28915	0.786942	0.0699957
81	1.29419	0.793204	0.0694111
82	1.25373	0.79882	0.0687914
83	1.28325	0.804657	0.0682098
84	1.31501	0.810732	0.0676678
85	1.27558	0.816201	0.0670923
86	1.25207	0.82127	0.0665033
87	1.28208	0.826566	0.0659495
88	1.28905	0.831822	0.0654092
89	1.27654	0.836819	0.0648648
90	1.29388	0.841897	0.0643426
91	1.28142	0.846727	0.0638166
92	1.27885	0.851424	0.0632955
93	1.27876	0.856019	0.0627815
94	1.27973	0.860527	0.0622752
95	1.30152	0.865169	0.0617925
96	1.28893	0.869583	0.0613062
97	1.29766	0.873996	0.0608329
98	1.27976	0.878136	0.0603529
99	1.28436	0.88224	0.0598826
100	1.30011	0.886418	0.0594293
