#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
32	-6.59403	-0.206063	0.202818
33	-6.56983	-0.398905	0.273388
34	-6.58907	-0.580969	0.320283
35	-6.59562	-0.752816	0.354247
36	-6.5485	-0.913807	0.379228
37	-6.60019	-1.06749	0.398907
38	-6.57294	-1.21237	0.413884
39	-6.6115	-1.35081	0.425795
40	-6.59667	-1.48196	0.434878
41	-6.543	-1.6054	0.441443
42	-6.60063	-1.72433	0.446667
43	-6.58644	-1.8374	0.450364
44	-6.57853	-1.94516	0.452835
45	-6.59578	-2.0485	0.454413
46	-6.58708	-2.14717	0.455119
47	-6.58811	-2.24166	0.455139
48	-6.59211	-2.33229	0.454591
49	-6.58298	-2.41904	0.453515
50	-6.59365	-2.50253	0.452065
51	-6.5726	-2.58234	0.45019
52	-6.5728	-2.65908	0.448026
53	-6.59615	-2.73336	0.445688
54	-6.58339	-2.80466	0.443101
55	-6.59258	-2.87353	0.440364
56	-6.56531	-2.93946	0.437407
57	-6.59366	-3.00356	0.434406
58	-6.60419	-3.06564	0.431329
59	-6.55357	-3.12476	0.428051
60	-6.606	-3.18278	0.424831
61	-6.60486	-3.23888	0.421554
62	-6.56372	-3.29251	0.418152
63	-6.58722	-3.3448	0.414772
64	-6.56951	-3.39519	0.41134
65	-6.59131	-3.44436	0.40794
66	-6.57054	-3.49173	0.4045
67	-6.61426	-3.53833	0.401138
68	-6.60985	-3.5835	0.397774
69	-6.55621	-3.62659	0.394335
70	-6.59439	-3.66898	0.390975
71	-6.56437	-3.70976	0.387589
72	-6.60213	-3.74993	0.384282
73	-6.59528	-3.78891	0.380989
74	-6.59525	-3.82684	0.377724
75	-6.5672	-3.86337	0.37445
76	-6.59771	-3.89935	0.371248
77	-6.58373	-3.93421	0.36806
78	-6.58676	-3.96822	0.364908
79	-6.60065	-4.00154	0.361808
80	-6.59082	-4.03391	0.35873
81	-6.59442	-4.06552	0.355691
82	-6.55514	-4.09588	0.352647
83	-6.58336	-4.12585	0.349669
84	-6.61673	-4.1555	0.346762
85	-6.57721	-4.18399	0.34385
86	-6.55183	-4.21153	0.340953
87	-6.58196	-4.23877	0.338121
88	-6.5886	-4.26548	0.335331
89	-6.57696	-4.29145	0.332568
90	-6.59544	-4.31705	0.329856
91	-6.58196	-4.34194	0.327169
92	-6.58011	-4.36627	0.324516
93	-6.57951	-4.39006	0.321898
94	-6.58033	-4.41336	0.319316
95	-6.60253	-4.43641	0.316785
96	-6.59024	-4.45884	0.314279
97	-6.59874	-4.4809	0.311812
98	-6.58247	-4.50235	0.309367
99	-6.58676	-4.5234	0.306957
100	-6.601	-4.54418	0.30459
