#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
32	1.03195	0.0322485	0.0317406
33	1.01591	0.0620564	0.0425314
34	1.02942	0.0905083	0.0498977
35	1.03313	0.11744	0.0552643
36	1.00135	0.141993	0.0589316
37	1.03728	0.16619	0.0621081
38	1.01823	0.188612	0.064394
39	1.04317	0.210524	0.0663663
40	1.03404	0.231112	0.0678253
41	0.999098	0.249844	0.0687089
42	1.03741	0.268595	0.0695847
43	1.02892	0.286277	0.0701771
44	1.02265	0.303013	0.0705495
45	1.03326	0.31924	0.0708235
46	1.02781	0.334644	0.0709392
47	1.02723	0.34938	0.0709438
48	1.0298	0.363555	0.0708679
49	1.02592	0.377073	0.0706991
50	1.03155	0.390163	0.0704864
51	1.01724	0.402458	0.0701685
52	1.01894	0.414314	0.0698135
53	1.03448	0.426015	0.0694699
54	1.02474	0.437102	0.0690626
55	1.03133	0.447907	0.0686468
56	1.01196	0.457979	0.0681559
57	1.03253	0.468059	0.0677015
58	1.03903	0.477903	0.0672461
59	1.00436	0.486826	0.0666957
60	1.04071	0.496057	0.0662199
61	1.04017	0.504977	0.0657323
62	1.01194	0.513154	0.0651787
63	1.02712	0.521312	0.0646527
64	1.01492	0.529025	0.0641009
65	1.03037	0.536738	0.0635771
66	1.01744	0.544021	0.0630296
67	1.04701	0.551529	0.0625343
68	1.04253	0.558749	0.0620302
69	1.00746	0.565252	0.0614711
70	1.03162	0.571915	0.0609529
71	1.01282	0.578125	0.06041
72	1.03844	0.584518	0.0599083
73	1.03271	0.590658	0.0594014
74	1.03351	0.596642	0.0588994
75	1.01349	0.6022	0.0583757
76	1.03452	0.607888	0.0578841
77	1.02434	0.613297	0.0573844
78	1.02692	0.6186	0.0568932
79	1.03595	0.623883	0.0564178
80	1.0297	0.628955	0.0559402
81	1.03319	0.633946	0.0554717
82	1.00552	0.638477	0.05498
83	1.02586	0.643145	0.0545153
84	1.04731	0.647956	0.0540782
85	1.02059	0.65234	0.0536194
86	1.00453	0.656435	0.0531521
87	1.02497	0.660671	0.0527097
88	1.02957	0.664863	0.0522772
89	1.02123	0.668868	0.0518429
90	1.03284	0.672912	0.0514244
91	1.02488	0.676779	0.0510045
92	1.02277	0.68054	0.0505886
93	1.02247	0.684217	0.050178
94	1.02351	0.687826	0.0497739
95	1.03849	0.691518	0.0493866
96	1.02972	0.695041	0.0489977
97	1.03579	0.698553	0.0486183
98	1.02371	0.701871	0.0482353
99	1.02669	0.705152	0.0478595
100	1.03736	0.708474	0.0474961
