#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
32	0.861621	0.0269256	0.0265016
33	0.845589	0.0517336	0.035457
34	0.85892	0.0754744	0.0416099
35	0.862661	0.0979654	0.0461005
36	0.831544	0.118343	0.0491174
37	0.866429	0.138561	0.0517843
38	0.848027	0.157231	0.0536818
39	0.872338	0.175567	0.0553484
40	0.863533	0.192767	0.0565738
41	0.829301	0.208292	0.0572846
42	0.866849	0.223972	0.058027
43	0.858077	0.238718	0.0585214
44	0.852426	0.252666	0.05883
45	0.862593	0.26622	0.0590634
46	0.857349	0.279071	0.0591609
47	0.856965	0.291366	0.0591661
48	0.859497	0.303202	0.0591055
49	0.855523	0.314474	0.0589642
50	0.861209	0.325409	0.0587901
51	0.847518	0.335646	0.0585219
52	0.849018	0.345519	0.0582233
53	0.863743	0.355297	0.0579399
54	0.854458	0.36454	0.0575996
55	0.861059	0.373568	0.0572554
56	0.842068	0.381934	0.056841
57	0.861862	0.390354	0.0564639
58	0.868576	0.398599	0.0560892
59	0.834616	0.405989	0.0556232
60	0.870202	0.413726	0.0552316
61	0.869553	0.421199	0.0548294
62	0.84175	0.427982	0.054363
63	0.856763	0.434788	0.0539244
64	0.844847	0.441195	0.0534612
65	0.859741	0.447634	0.053025
66	0.847308	0.45369	0.0525663
67	0.876259	0.459997	0.0521587
68	0.871626	0.46605	0.0517417
69	0.837401	0.471432	0.051271
70	0.861377	0.477003	0.0508403
71	0.842934	0.482157	0.0503848
72	0.867704	0.487512	0.0499687
73	0.862281	0.492645	0.0495473
74	0.863087	0.497651	0.0491299
75	0.843502	0.502263	0.0486908
76	0.864096	0.507024	0.0482823
77	0.854545	0.511537	0.0478658
78	0.856886	0.515964	0.0474564
79	0.86557	0.52039	0.0470616
80	0.859434	0.524628	0.0466638
81	0.862791	0.528803	0.0462741
82	0.835822	0.532547	0.045861
83	0.855498	0.536438	0.0454732
84	0.876675	0.540488	0.0451119
85	0.850388	0.544134	0.0447282
86	0.834716	0.547513	0.0443356
87	0.854721	0.551044	0.0439664
88	0.859365	0.554548	0.0436061
89	0.85103	0.557879	0.0432432
90	0.862584	0.561265	0.0428951
91	0.854281	0.564485	0.0425444
92	0.852566	0.567616	0.042197
93	0.85251	0.570679	0.0418543
94	0.853155	0.573684	0.0415168
95	0.867682	0.576779	0.041195
96	0.859285	0.579722	0.0408708
97	0.865104	0.582664	0.0405552
98	0.853176	0.585424	0.0402352
99	0.856242	0.58816	0.0399217
100	0.866737	0.590946	0.0396196
