BLOCK	ACTUAL_P	P_AVE	ERROR
1	5.49361	5.49361	0
2	4.78429	5.13895	0.250783
3	5.13568	5.13786	0.167191
4	4.32829	4.93547	0.215513
5	4.62604	4.87358	0.181078
6	5.02239	4.89838	0.152587
7	5.15336	4.93481	0.135067
8	5.50951	5.00665	0.135951
9	4.63803	4.96569	0.126865
10	5.29576	4.9987	0.118395
11	4.79988	4.98062	0.109003
12	5.62195	5.03407	0.112259
13	4.90567	5.02419	0.104057
14	4.89082	5.01466	0.0970598
15	5.01747	5.01485	0.0905893
16	5.60563	5.05177	0.0921457
17	4.72999	5.03284	0.0886482
18	4.89097	5.02496	0.0840729
19	5.23798	5.03617	0.0803921
20	4.67334	5.01803	0.0783928
21	5.72478	5.05169	0.0815646
22	4.61783	5.03197	0.0802058
23	5.05221	5.03285	0.0767234
24	5.12891	5.03685	0.073631
25	4.86058	5.0298	0.0710225
26	4.74492	5.01884	0.0691309
27	4.91863	5.01513	0.06667
28	4.66021	5.00245	0.0654829
29	4.69218	4.99175	0.0640929
30	4.89305	4.98846	0.0620409
31	4.82853	4.98331	0.0602537
32	5.25156	4.99169	0.058951
33	5.31426	5.00146	0.0579694
34	4.69832	4.99255	0.0569459
35	4.38066	4.97506	0.0579404
36	5.20923	4.98157	0.0566948
37	4.64121	4.97237	0.0559039
38	5.25465	4.9798	0.054924
39	4.47586	4.96688	0.0550147
40	5.25288	4.97403	0.0541019
41	4.62406	4.96549	0.0534515
42	5.24036	4.97204	0.0525779
43	5.10183	4.97505	0.0514418
44	4.82596	4.97167	0.0503841
45	5.07466	4.97395	0.0493164
46	5.70845	4.98992	0.0507634
47	5.13097	4.99292	0.049772
48	5.0866	4.99487	0.0487733
49	5.4946	5.00507	0.0488325
50	4.70243	4.99902	0.0482296
51	4.75548	4.99424	0.0475197
52	5.44703	5.00295	0.0473969
53	4.83881	4.99986	0.0466037
54	4.65103	4.9934	0.0461862
55	5.05268	4.99447	0.045359
56	4.99205	4.99443	0.0445491
57	4.9056	4.99287	0.0437948
58	5.11875	4.99504	0.0430934
59	4.87284	4.99297	0.0424128
60	4.61056	4.9866	0.0421821
61	5.28705	4.99152	0.0417771
62	4.69693	4.98677	0.0413726
63	4.97661	4.98661	0.0407162
64	5.22779	4.99038	0.0402541
65	5.30938	4.99529	0.0399328
66	5.42268	5.00176	0.0398494
67	4.59574	4.9957	0.0397127
68	4.64501	4.99054	0.0394621
69	4.99048	4.99054	0.0388902
70	4.51928	4.98381	0.038913
71	4.6014	4.97843	0.0387359
72	4.60207	4.9732	0.038549
73	4.97267	4.97319	0.0380209
74	4.61998	4.96842	0.0378055
75	5.00337	4.96888	0.0373043
76	4.82415	4.96698	0.0368621
77	4.8032	4.96485	0.0364446
78	5.39475	4.97036	0.0363918
79	4.72251	4.96723	0.0360661
80	5.45106	4.97327	0.0361188
81	5.74407	4.98279	0.0369052
82	4.99586	4.98295	0.0364554
83	5.09535	4.9843	0.0360414
84	4.89399	4.98323	0.0356283
85	4.97136	4.98309	0.0352094
86	4.87378	4.98182	0.034823
87	4.50165	4.9763	0.0348573
88	4.72668	4.97346	0.0345765
89	5.3164	4.97732	0.034402
90	5.15952	4.97934	0.0340793
91	4.86878	4.97813	0.0337264
92	4.93248	4.97763	0.0333635
93	4.29483	4.97029	0.0338029
94	4.64796	4.96686	0.0336168
95	5.55753	4.97308	0.033833
96	5.07127	4.9741	0.033496
97	5.1948	4.97637	0.0332279
