BLOCK	ACTUAL_P	P_AVE	ERROR
1	1.44537	1.44537	0
2	1.39989	1.42263	0.0160791
3	1.54156	1.46227	0.0340982
4	1.31821	1.42626	0.0403331
5	1.4583	1.43267	0.0327718
6	1.42792	1.43187	0.0273194
7	1.50061	1.44169	0.0251195
8	1.45343	1.44316	0.0220224
9	1.52824	1.45261	0.0215088
10	1.45655	1.45301	0.0193616
11	1.68436	1.47404	0.0266824
12	1.23998	1.45453	0.030773
13	1.43608	1.45312	0.0284386
14	1.5374	1.45914	0.0270371
15	1.35082	1.45191	0.0261812
16	1.55375	1.45828	0.0253067
17	1.70119	1.47257	0.0275582
18	1.56611	1.47777	0.0265127
19	1.69266	1.48908	0.0274239
20	1.50893	1.49007	0.0260707
21	1.49568	1.49034	0.0248306
22	1.52961	1.49212	0.023766
23	1.53257	1.49388	0.0227977
24	1.42228	1.4909	0.0220422
25	1.69581	1.49909	0.0226332
26	1.69414	1.50659	0.0229723
27	1.40161	1.50271	0.0224482
28	1.48563	1.5021	0.0216547
29	1.39399	1.49837	0.0212265
30	1.53517	1.4996	0.0205544
31	1.36485	1.49525	0.0203457
32	1.42263	1.49298	0.019836
33	1.29314	1.48692	0.0201381
34	1.628	1.49107	0.0199687
35	1.55586	1.49292	0.0194838
36	1.4873	1.49277	0.0189432
37	1.81371	1.50144	0.0203203
38	1.50546	1.50155	0.0197858
39	1.54415	1.50264	0.0193087
40	1.5265	1.50324	0.0188351
41	1.65111	1.50684	0.0187179
42	1.4448	1.50537	0.0183304
43	1.71324	1.5102	0.0185306
44	1.35966	1.50678	0.0184226
45	1.54606	1.50765	0.0180339
46	1.40753	1.50548	0.0177727
47	1.49653	1.50529	0.0173956
48	1.43031	1.50372	0.0171032
49	1.58015	1.50528	0.0168251
50	1.90752	1.51333	0.0183111
51	1.59608	1.51495	0.0180238
52	1.62597	1.51709	0.0178032
53	1.50169	1.5168	0.0174697
54	1.40069	1.51465	0.0172779
55	1.42441	1.513	0.0170415
56	1.58007	1.5142	0.0167792
57	1.40706	1.51232	0.0165898
58	1.55214	1.51301	0.016318
59	1.54677	1.51358	0.0160514
60	1.81436	1.51859	0.0165482
61	1.53855	1.51892	0.0162801
62	1.52237	1.51898	0.0160176
63	1.5341	1.51922	0.0157652
64	1.49203	1.51879	0.0155246
65	1.27965	1.51511	0.0157156
66	1.47887	1.51456	0.0154871
67	1.70943	1.51747	0.0155267
68	1.80156	1.52165	0.0158504
69	1.4194	1.52017	0.0156898
70	1.5686	1.52086	0.0154809
71	1.56058	1.52142	0.015273
72	1.53441	1.5216	0.0150619
73	1.57634	1.52235	0.0148743
74	1.59267	1.5233	0.0147036
75	1.53202	1.52342	0.014508
76	1.41409	1.52198	0.0143883
77	1.70037	1.52429	0.0143867
78	1.47754	1.5237	0.0142148
79	1.77257	1.52685	0.0143797
80	1.59185	1.52766	0.0142229
81	1.39249	1.52599	0.0141448
82	1.47089	1.52532	0.0139883
83	1.6204	1.52646	0.0138666
84	1.61085	1.52747	0.0137378
85	1.53259	1.52753	0.0135764
86	1.78635	1.53054	0.013748
87	1.59939	1.53133	0.0136128
88	1.28977	1.52858	0.013732
89	1.4804	1.52804	0.0135884
90	1.39043	1.52651	0.0135232
91	1.40658	1.5252	0.0134386
92	1.52708	1.52522	0.0132926
93	1.56048	1.5256	0.0131551
94	1.47672	1.52508	0.0130254
95	1.58583	1.52571	0.012904
96	1.66355	1.52715	0.0128492
97	1.62069	1.52812	0.0127528
98	1.47252	1.52755	0.0126353
99	1.4111	1.52637	0.0125623
100	1.83806	1.52949	0.0128175
101	1.4213	1.52842	0.0127353
102	1.50609	1.5282	0.0126123
103	1.57493	1.52865	0.012498
104	1.63096	1.52964	0.0124165
105	1.45891	1.52896	0.0123165
106	1.48788	1.52857	0.0122064
107	1.65556	1.52976	0.0121499
108	1.56695	1.53011	0.0120423
109	1.34233	1.52838	0.0120544
110	1.3489	1.52675	0.0120547
111	1.56784	1.52712	0.0119518
112	1.45554	1.52648	0.0118622
113	1.37475	1.52514	0.011833
114	1.46274	1.52459	0.0117418
115	1.37439	1.52329	0.0117121
116	1.47434	1.52286	0.0116188
117	1.45747	1.52231	0.0115329
118	1.71537	1.52394	0.0115506
119	1.40482	1.52294	0.0114969
120	1.64441	1.52395	0.0114455
121	1.23344	1.52155	0.0116
122	1.32997	1.51998	0.0116108
123	1.58534	1.52051	0.0115285
124	1.44613	1.51991	0.0114512
125	1.41437	1.51907	0.0113906
126	1.64189	1.52004	0.0113419
127	1.40665	1.51915	0.0112876
128	1.39074	1.51815	0.011244
129	1.47741	1.51783	0.0111612
130	1.74741	1.5196	0.0112142
131	1.48892	1.51936	0.0111311
132	1.40613	1.51851	0.0110797
133	1.46508	1.5181	0.0110037
134	1.29079	1.51641	0.0110516
135	1.6239	1.5172	0.0109984
136	1.8138	1.51938	0.0111316
137	1.42329	1.51868	0.0110724
138	1.39548	1.51779	0.0110281
139	1.64325	1.51869	0.0109857
140	1.37777	1.51769	0.0109532
141	1.61985	1.51841	0.0108995
142	1.45693	1.51798	0.0108313
143	1.59376	1.51851	0.0107685
144	1.64019	1.51935	0.0107269
145	1.41134	1.51861	0.0106787
146	1.4434	1.51809	0.010618
147	1.52249	1.51812	0.0105458
148	1.52434	1.51816	0.0104746
149	1.7118	1.51946	0.0104846
150	1.45227	1.51902	0.0104243
151	1.45896	1.51862	0.0103628
152	1.39377	1.5178	0.0103272
153	1.34282	1.51665	0.0103228
154	1.55901	1.51693	0.0102594
155	1.52794	1.517	0.0101935
156	1.55785	1.51726	0.0101315
157	1.4111	1.51659	0.0100895
158	1.61321	1.5172	0.0100442
159	1.51051	1.51715	0.00998109
160	1.64755	1.51797	0.00995193
161	1.39116	1.51718	0.00992123
162	1.55543	1.51742	0.0098628
163	1.7042	1.51856	0.00986864
164	1.43233	1.51804	0.00982246
165	1.43263	1.51752	0.00977656
166	1.58708	1.51794	0.00972664
167	1.64423	1.5187	0.00969775
168	1.63285	1.51938	0.0096638
169	1.4795	1.51914	0.0096095
170	1.51885	1.51914	0.00955297
171	1.60368	1.51963	0.00950989
172	1.54703	1.51979	0.00945594
173	1.51615	1.51977	0.0094013
174	1.48867	1.51959	0.00934897
175	1.45953	1.51925	0.00930184
176	1.44748	1.51884	0.00925793
