BLOCK	ACTUAL_V	V_AVE	ERROR
1	96.6811	96.6811	0
2	62.7331	79.7071	12.0025
3	11.6989	57.0377	20.165
4	5.55243	44.1664	18.7878
5	4.20946	36.175	16.6432
6	5.08367	30.9931	14.6539
7	4.56433	27.2176	13.0378
8	5.85521	24.5473	11.6783
9	5.61418	22.4436	10.5685
10	7.13925	20.9132	9.62182
11	6.69209	19.6203	8.83353
12	5.90836	18.4777	8.17098
13	5.42105	17.4733	7.60392
14	6.49253	16.689	7.10112
15	6.86937	16.0343	6.65781
16	4.40915	15.3078	6.28122
17	5.05505	14.7047	5.94062
18	5.01505	14.1663	5.63492
19	4.46629	13.6558	5.36143
20	4.72625	13.2093	5.11191
21	5.84307	12.8586	4.88051
22	4.85179	12.4946	4.67222
23	4.78042	12.1592	4.4811
24	3.5683	11.8013	4.30866
25	5.49826	11.5491	4.14368
26	3.86084	11.2534	3.99485
27	3.43729	10.964	3.85737
28	3.50627	10.6976	3.72879
29	4.44086	10.4819	3.60644
30	4.70756	10.2894	3.49136
31	5.32927	10.1294	3.3824
32	4.32987	9.94814	3.28155
33	4.96775	9.79722	3.18558
34	4.14466	9.63097	3.09622
35	3.51505	9.45623	3.01269
36	5.73629	9.3529	2.93077
37	5.65453	9.25294	2.85327
38	4.53651	9.12883	2.78088
39	4.57073	9.01195	2.71203
40	5.69412	8.92901	2.6455
41	8.19244	8.91104	2.58103
42	6.37599	8.85068	2.52028
43	6.16051	8.78812	2.46245
44	5.09815	8.70426	2.40791
45	5.30042	8.62862	2.35559
46	3.91123	8.52607	2.30661
47	4.60991	8.44274	2.25904
48	4.15269	8.35337	2.21375
49	3.90992	8.26268	2.17042
50	5.43542	8.20614	2.12775
51	4.98781	8.14303	2.08697
52	4.34798	8.07005	2.04811
53	4.62494	8.00505	2.0105
54	5.6341	7.96114	1.97374
55	4.59817	7.9	1.9388
56	4.17232	7.83343	1.90533
57	4.18276	7.76939	1.87297
58	5.89728	7.73711	1.84096
59	3.96076	7.6731	1.81087
60	4.8958	7.62681	1.78128
61	4.7823	7.58018	1.75269
62	3.67088	7.51713	1.72555
63	6.0915	7.4945	1.69831
64	5.35322	7.46104	1.67211
65	5.24583	7.42696	1.64673
66	4.35293	7.38039	1.62244
67	4.8416	7.34249	1.59866
68	3.83733	7.29095	1.57598
69	4.22745	7.24655	1.55377
70	4.93241	7.21349	1.53192
71	4.08182	7.16938	1.51098
72	3.1631	7.11374	1.49102
73	4.51976	7.07821	1.47102
74	5.14798	7.05212	1.45137
75	4.72039	7.02103	1.43235
76	4.34945	6.98588	1.41394
77	4.28487	6.9508	1.39601
78	5.64149	6.93401	1.37821
79	4.58782	6.90432	1.36109
80	5.99971	6.89301	1.34412
81	5.80115	6.87953	1.32759
82	4.7797	6.85392	1.31165
83	4.19938	6.82194	1.29624
84	4.99913	6.80024	1.28099
85	5.72611	6.7876	1.26598
86	5.19529	6.76909	1.25139
87	4.88856	6.74747	1.2372
88	5.73342	6.73595	1.22319
89	6.50656	6.73337	1.20945
90	4.39372	6.70737	1.19629
91	4.72708	6.68561	1.18334
92	5.71351	6.67505	1.17053
93	4.16248	6.64803	1.15825
94	5.26825	6.63335	1.14603
95	4.13538	6.60706	1.13426
96	4.20378	6.58202	1.12272
97	5.08771	6.56662	1.11126
98	4.80691	6.54866	1.10006
99	3.90747	6.52198	1.08927
100	5.23153	6.50908	1.07846
101	5.16494	6.49577	1.06786
102	6.79872	6.49874	1.0574
103	7.10709	6.50465	1.04715
104	4.74482	6.48773	1.03721
105	6.07496	6.48379	1.02734
106	6.07087	6.4799	1.01766
107	4.25305	6.45909	1.00836
108	4.26247	6.43875	0.99923
109	3.59603	6.41267	0.990403
110	4.62222	6.39639	0.981533
111	5.10333	6.38474	0.972759
112	4.40512	6.36707	0.964235
113	4.07035	6.34674	0.955916
114	4.67662	6.33209	0.947643
115	3.9611	6.31147	0.939627
116	3.69765	6.28894	0.931797
117	4.64689	6.27491	0.923938
118	3.88731	6.25467	0.91633
119	5.19063	6.24573	0.908673
120	4.01039	6.2271	0.901292
121	4.73744	6.21479	0.893927
122	5.80828	6.21146	0.886606
123	4.19991	6.19511	0.879549
124	4.12366	6.1784	0.872614
125	3.7727	6.15916	0.865845
126	4.88456	6.14904	0.859033
127	4.18892	6.13361	0.852407
128	4.56512	6.12135	0.845836
129	4.64545	6.10991	0.839357
130	4.86932	6.10037	0.832954
131	4.52984	6.08838	0.826682
132	5.73483	6.0857	0.820424
133	6.18041	6.08641	0.814255
134	4.76093	6.07652	0.808239
135	4.45869	6.06454	0.802341
136	5.94157	6.06363	0.796442
137	4.63788	6.05323	0.790696
138	5.38033	6.04835	0.784982
139	10.0683	6.07727	0.779867
140	5.11803	6.07042	0.774326
141	4.37362	6.05838	0.768928
142	4.8594	6.04994	0.76356
143	5.68577	6.04739	0.758224
144	3.88651	6.03239	0.753107
145	5.39356	6.02798	0.747926
146	5.04971	6.02128	0.742834
147	4.69847	6.01228	0.737835
148	4.45864	6.00179	0.732924
149	4.37266	5.99085	0.728087
150	5.76865	5.98937	0.723234
151	5.66145	5.9872	0.718448
152	5.4926	5.98394	0.713729
153	5.44724	5.98044	0.709072
154	5.6328	5.97818	0.704472
155	5.52826	5.97528	0.699933
156	4.72842	5.96728	0.695492
157	4.88192	5.96037	0.691096
158	4.712	5.95247	0.686767
159	4.65422	5.9443	0.682496
160	4.78348	5.93705	0.678269
161	4.92083	5.93074	0.674086
162	4.47533	5.92175	0.669985
163	3.74938	5.90843	0.666007
164	4.52364	5.89998	0.661999
165	4.25771	5.89003	0.658062
166	4.19147	5.8798	0.654177
167	5.04627	5.87481	0.650279
168	4.13454	5.86445	0.646491
169	6.50522	5.86824	0.642677
170	5.24936	5.8646	0.638907
171	4.9796	5.85942	0.635191
172	5.08023	5.85489	0.631514
173	5.43067	5.85244	0.627869
174	5.86999	5.85254	0.62426
175	4.65476	5.8457	0.620731
176	5.4087	5.84321	0.617209
177	6.72749	5.84821	0.613742
178	4.78887	5.84226	0.610323
179	4.88551	5.83691	0.606937
180	4.78371	5.83106	0.603593
181	4.43498	5.82335	0.600307
182	4.25699	5.81474	0.597071
183	6.67839	5.81946	0.593827
184	5.53737	5.81793	0.590601
185	3.95035	5.80783	0.587495
186	6.84358	5.8134	0.584363
187	4.10503	5.80427	0.58131
188	4.23303	5.79591	0.578278
189	6.35735	5.79888	0.575225
190	4.80358	5.79364	0.572222
191	4.34038	5.78603	0.569277
192	3.58189	5.77455	0.566427
193	5.18521	5.7715	0.563501
194	4.14361	5.76311	0.560658
195	6.26918	5.7657	0.557789
196	3.92441	5.75631	0.555023
197	5.84166	5.75674	0.552205
198	5.00769	5.75296	0.549429
199	4.80058	5.74817	0.546689
200	4.65167	5.74269	0.543983
201	4.32537	5.73564	0.541323
202	4.24742	5.72827	0.538693
203	6.14042	5.7303	0.536043
204	4.06281	5.72213	0.533478
205	5.51508	5.72112	0.530876
206	3.78347	5.71171	0.528383
207	5.27732	5.70961	0.525834
208	6.59062	5.71385	0.523323
209	4.24755	5.70683	0.520866
210	4.83957	5.7027	0.518402
211	4.49289	5.69697	0.515977
212	7.33301	5.70469	0.513601
213	5.22072	5.70242	0.511195
214	4.09601	5.69491	0.508861
215	3.75894	5.6859	0.506574
216	5.99751	5.68735	0.504231
217	4.55661	5.68214	0.501934
218	6.60441	5.68637	0.49965
219	4.5348	5.68111	0.497396
220	5.08676	5.67841	0.495142
221	5.26039	5.67652	0.492905
222	6.65634	5.68093	0.490705
223	3.97759	5.67329	0.488564
224	5.40444	5.67209	0.486384
225	5.21173	5.67004	0.484227
226	4.25565	5.66379	0.482125
227	5.03782	5.66103	0.480009
228	4.05198	5.65397	0.477955
229	3.21339	5.64331	0.475987
230	6.245	5.64593	0.473924
231	4.68095	5.64175	0.471891
232	6.37876	5.64493	0.469868
233	3.91224	5.63749	0.46791
234	6.12544	5.63958	0.465915
235	6.88191	5.64486	0.463963
236	3.26272	5.63477	0.462106
237	4.7713	5.63113	0.460171
238	6.15748	5.63334	0.458243
239	3.90156	5.62609	0.456383
240	4.99507	5.62346	0.454489
241	6.00031	5.62503	0.452606
242	3.97765	5.61822	0.450786
243	6.2477	5.62081	0.448939
244	3.88636	5.6137	0.447155
245	4.21679	5.608	0.445366
246	6.43526	5.61136	0.443569
247	4.45522	5.60668	0.441798
248	5.93052	5.60799	0.440018
249	4.80406	5.60476	0.438263
250	4.56414	5.6006	0.436529
251	4.3601	5.59565	0.434818
252	4.63691	5.59185	0.433109
253	4.96887	5.58939	0.431405
254	6.02258	5.59109	0.429709
255	5.05066	5.58897	0.42803
256	5.6432	5.58919	0.426358
257	5.55668	5.58906	0.424699
258	4.63328	5.58535	0.423069
259	4.63219	5.58167	0.421451
260	6.72197	5.58606	0.419853
261	4.43234	5.58164	0.418268
262	4.68481	5.57822	0.416685
263	5.44377	5.57771	0.415101
264	3.93063	5.57147	0.413576
265	5.86689	5.57258	0.412017
266	5.36135	5.57179	0.410468
267	3.67391	5.56468	0.408993
268	3.90282	5.55848	0.407514
