BLOCK	ACTUAL_V	V_AVE	ERROR
1	98.7971	98.7971	0
2	87.7104	93.2537	3.91975
3	59.7963	82.1012	9.4735
4	23.7876	67.5228	14.4872
5	5.25135	55.0685	16.0752
6	5.0677	46.7351	15.4053
7	6.05868	40.9241	14.2585
8	4.63506	36.388	13.178
9	4.42568	32.8366	12.1829
10	4.2886	29.9818	11.2941
11	4.80592	27.6931	10.4967
12	6.28268	25.9089	9.77246
13	4.02772	24.2257	9.16454
14	5.74337	22.9056	8.60449
15	4.36764	21.6697	8.11913
16	4.9516	20.6248	7.67862
17	3.7659	19.6331	7.2907
18	4.26015	18.7791	6.9355
19	5.6137	18.0862	6.605
20	4.70107	17.4169	6.30856
21	5.01761	16.8265	6.03572
22	4.94468	16.2864	5.78548
23	4.06909	15.7552	5.55827
24	4.95184	15.3051	5.34488
25	4.85986	14.8872	5.14738
26	4.19818	14.4761	4.9658
27	6.40507	14.1772	4.79087
28	3.79168	13.8063	4.6341
29	4.53836	13.4867	4.48531
30	7.64115	13.2919	4.34003
31	4.63781	13.0127	4.209
32	4.3484	12.7419	4.08617
33	4.08592	12.4796	3.97075
34	3.67848	12.2208	3.8624
35	5.50217	12.0288	3.75681
36	6.39385	11.8723	3.65571
37	10.8228	11.8439	3.55702
38	5.56465	11.6787	3.46725
39	7.38046	11.5685	3.3801
40	4.0992	11.3817	3.30075
41	4.91222	11.2239	3.22401
42	5.24475	11.0816	3.15039
43	4.04704	10.918	3.08137
44	4.448	10.7709	3.01485
45	4.06832	10.622	2.95153
46	4.35851	10.4858	2.8905
47	4.66457	10.362	2.83165
48	4.79619	10.246	2.77504
49	5.44961	10.1481	2.72013
50	5.28902	10.051	2.66746
51	3.70709	9.92656	2.61806
52	4.16928	9.81585	2.57005
53	4.40048	9.71367	2.52359
54	5.00015	9.62638	2.47836
55	6.18941	9.56389	2.43409
56	4.53202	9.47404	2.39228
57	4.70569	9.39038	2.35177
58	4.0136	9.29768	2.31305
59	4.63833	9.21871	2.2752
60	4.10099	9.13341	2.23887
61	4.80876	9.06252	2.20329
62	4.15614	8.98338	2.16918
63	5.59349	8.92957	2.13541
64	7.99994	8.91505	2.1021
65	5.36483	8.86043	2.07047
66	5.37851	8.80767	2.03977
67	3.91119	8.73459	2.01063
68	4.17639	8.66756	1.98218
69	4.35901	8.60511	1.95444
70	4.39641	8.54499	1.92744
71	4.52251	8.48834	1.90113
72	5.67483	8.44926	1.87512
73	6.07442	8.41673	1.84972
74	5.21835	8.37351	1.82523
75	5.21927	8.33145	1.80138
76	3.90529	8.27321	1.77862
77	4.48325	8.22399	1.7562
78	5.88782	8.19404	1.73394
79	3.94506	8.14025	1.71282
80	4.25992	8.09175	1.6921
81	4.5645	8.0482	1.67177
82	5.81871	8.02102	1.6516
83	4.32406	7.97647	1.6323
84	4.60847	7.93638	1.61336
85	5.27631	7.90508	1.59469
86	5.28562	7.87462	1.57644
87	5.40549	7.84624	1.55857
88	5.79487	7.82293	1.54103
89	5.92207	7.80157	1.52387
90	3.97084	7.75901	1.50753
91	4.84619	7.727	1.4913
92	4.23824	7.68908	1.47558
93	4.89714	7.65906	1.46001
94	4.46689	7.6251	1.44488
95	4.14417	7.58846	1.43013
96	4.55476	7.55686	1.41558
97	6.08864	7.54172	1.40107
98	5.13638	7.51718	1.38699
99	7.19335	7.51391	1.37298
100	5.30272	7.49179	1.35943
101	5.06591	7.46778	1.34618
102	5.5407	7.44888	1.33312
103	5.79407	7.43282	1.32027
104	4.24585	7.40217	1.30793
105	5.31363	7.38228	1.29563
106	4.15592	7.35184	1.28376
107	5.22151	7.33193	1.27192
108	4.71985	7.30775	1.26037
109	5.98048	7.29557	1.24887
110	5.56387	7.27983	1.23761
111	4.77334	7.25725	1.22667
112	7.29274	7.25757	1.21572
113	3.72848	7.22633	1.20536
114	4.54579	7.20282	1.19502
115	4.21717	7.17686	1.18491
116	3.56323	7.14571	1.1751
117	6.21875	7.13778	1.16508
118	4.37127	7.11434	1.15545
119	6.75621	7.11133	1.14574
120	3.43881	7.08073	1.1366
121	4.33619	7.05804	1.12744
122	5.21654	7.04295	1.11829
123	5.35277	7.02921	1.10929
124	4.32266	7.00738	1.10056
125	5.44157	6.99485	1.09182
126	5.6609	6.98427	1.08321
127	4.74568	6.96664	1.07482
128	3.45058	6.93917	1.06678
129	4.57696	6.92086	1.05866
130	4.09282	6.89911	1.05074
131	5.71089	6.89004	1.04276
132	5.57841	6.8801	1.03491
133	4.10564	6.85924	1.02734
134	5.09159	6.84605	1.01976
135	6.57487	6.84404	1.01221
136	5.74603	6.83596	1.0048
137	5.31683	6.82488	0.997522
138	4.22971	6.80607	0.990471
139	5.92416	6.79973	0.983366
140	6.25141	6.79581	0.976349
141	5.21902	6.78463	0.969489
142	4.77539	6.77048	0.962765
143	7.16063	6.7732	0.956036
144	4.47528	6.75725	0.94953
145	6.03122	6.75224	0.942995
146	5.25058	6.74195	0.936592
147	4.66069	6.7278	0.930328
148	5.59203	6.72012	0.924073
149	3.27875	6.69703	0.91816
150	5.13204	6.68659	0.912098
151	5.33339	6.67763	0.906102
152	5.26513	6.66834	0.900188
153	5.15649	6.65846	0.894359
154	6.81502	6.65947	0.888552
155	8.89999	6.67393	0.882937
156	6.12922	6.67044	0.877284
157	3.55225	6.65058	0.871921
158	5.70556	6.64459	0.866423
159	5.88519	6.63982	0.860987
160	5.85459	6.63491	0.85562
161	5.42518	6.6274	0.850339
162	6.16807	6.62456	0.845094
163	3.8607	6.60761	0.84008
164	5.1871	6.59894	0.835002
165	4.33428	6.58522	0.830054
166	4.09826	6.57024	0.825189
167	4.51161	6.55791	0.82034
168	4.4442	6.54533	0.815553
169	4.7803	6.53488	0.810794
170	3.91686	6.51948	0.806171
171	4.13631	6.50555	0.801577
172	4.64416	6.49473	0.79699
173	6.25008	6.49331	0.792384
174	5.1593	6.48564	0.787867
175	4.93834	6.4768	0.783415
176	4.12112	6.46342	0.779078
177	4.13476	6.45026	0.774788
178	5.31563	6.44389	0.770461
179	5.00434	6.43585	0.766199
180	6.36313	6.43544	0.761942
181	3.9432	6.42167	0.757857
182	4.12736	6.40907	0.753798
183	5.72469	6.40533	0.749688
184	4.8509	6.39688	0.745661
185	5.93501	6.39438	0.741635
186	3.64293	6.37959	0.737795
187	4.24023	6.36815	0.733938
188	4.359	6.35746	0.730112
189	3.72408	6.34353	0.726382
190	4.83963	6.33561	0.722602
191	5.94895	6.33359	0.718822
192	6.47785	6.33434	0.715078
193	4.81773	6.32648	0.711416
194	4.26087	6.31583	0.707829
195	5.49463	6.31162	0.704212
196	4.93451	6.3046	0.700654
197	4.43735	6.29512	0.697161
198	5.15423	6.28936	0.693664
199	5.64522	6.28612	0.690186
200	4.69024	6.27814	0.686781
201	6.36147	6.27856	0.683364
202	4.88012	6.27163	0.680016
203	6.41545	6.27234	0.676667
204	6.55419	6.27372	0.673351
205	7.3467	6.27896	0.670087
206	4.67856	6.27119	0.666879
207	5.44662	6.2672	0.663669
208	4.72734	6.2598	0.66052
209	5.62483	6.25676	0.657367
210	4.59128	6.24883	0.654284
211	4.00341	6.23819	0.65127
212	4.94846	6.23211	0.648226
213	4.09851	6.22209	0.64526
214	5.35009	6.21801	0.642258
215	6.48597	6.21926	0.639272
216	6.95662	6.22267	0.636321
217	4.24637	6.21357	0.633454
218	5.12003	6.20855	0.630568
219	4.3727	6.20017	0.627745
220	7.10134	6.20426	0.624905
221	5.81796	6.20252	0.62208
222	5.00107	6.1971	0.619301
223	6.39526	6.19799	0.616524
224	5.40524	6.19445	0.613782
225	3.73291	6.18351	0.611152
226	4.95348	6.17807	0.608472
227	3.91267	6.16809	0.605873
228	4.2921	6.15986	0.603272
229	6.22601	6.16015	0.600637
230	3.96096	6.15059	0.598102
231	5.52333	6.14788	0.595519
232	5.76752	6.14624	0.592954
233	3.98976	6.13698	0.590482
234	4.17364	6.12859	0.588018
235	4.56717	6.12195	0.585553
236	5.14981	6.11783	0.583087
237	5.75048	6.11628	0.580628
238	4.79916	6.11074	0.578215
239	4.62967	6.10455	0.575829
240	3.68471	6.09446	0.573518
241	4.16548	6.08646	0.571194
242	5.51212	6.08409	0.568839
243	4.76774	6.07867	0.566524
244	4.85982	6.07367	0.564224
245	6.02698	6.07348	0.561921
246	4.81151	6.06835	0.55966
247	4.70942	6.06285	0.557421
248	7.11138	6.06708	0.55519
249	4.38701	6.06033	0.553001
250	5.66771	6.05876	0.550791
251	5.38398	6.05607	0.548603
252	4.94683	6.05167	0.546444
253	4.5304	6.04566	0.544317
254	5.38586	6.04306	0.54218
255	3.86471	6.03452	0.540122
256	5.25425	6.03147	0.53802
257	4.58168	6.02583	0.535956
258	4.28795	6.01909	0.533921
259	5.09785	6.01554	0.531872
260	5.91688	6.01516	0.529826
261	4.31912	6.00866	0.527836
262	4.07909	6.00129	0.525873
263	3.46041	5.99163	0.523962
264	4.36461	5.98547	0.522014
265	4.2742	5.97901	0.520084
266	5.23243	5.9762	0.518136
267	3.52502	5.96702	0.516277
268	4.96762	5.9633	0.514364
269	5.09341	5.96006	0.512462
270	4.66106	5.95525	0.510586
271	4.32149	5.94922	0.508738
272	5.72839	5.94841	0.506868
273	4.10925	5.94167	0.505056
