BLOCK	ACTUAL_V	V_AVE	ERROR
1	6.18785	6.18785	0
2	4.47272	5.33029	0.60639
3	7.60059	6.08705	0.738393
4	4.04934	5.57763	0.708044
5	5.05734	5.47357	0.574031
6	3.88526	5.20885	0.535933
7	6.27223	5.36076	0.480418
8	5.42269	5.3685	0.420429
9	4.71949	5.29639	0.379848
10	5.55143	5.32189	0.342719
11	5.70862	5.35705	0.31336
12	7.38388	5.52595	0.329639
13	4.22358	5.42577	0.319142
14	6.74058	5.51969	0.309857
15	6.80242	5.6052	0.300769
16	5.659	5.60856	0.28199
17	4.24564	5.52839	0.276564
18	5.44842	5.52395	0.261235
19	4.67374	5.4792	0.251289
20	4.14369	5.41243	0.247438
21	4.3555	5.3621	0.240719
22	5.08215	5.34937	0.230114
23	8.78132	5.49859	0.264093
24	4.95161	5.4758	0.25407
25	4.28362	5.42811	0.248342
26	3.18356	5.34178	0.253352
27	3.83615	5.28602	0.25003
28	4.90841	5.27253	0.241464
29	5.79118	5.29041	0.233799
30	4.97087	5.27976	0.226248
31	5.11257	5.27437	0.219014
32	4.37427	5.24624	0.213968
33	5.91419	5.26648	0.20844
34	3.93989	5.22747	0.205929
35	3.62628	5.18172	0.205064
36	4.93481	5.17486	0.199482
37	5.04439	5.17133	0.194122
38	4.15569	5.14461	0.190844
39	5.55169	5.15504	0.186236
40	4.59218	5.14097	0.182111
41	6.93163	5.18465	0.182831
42	4.75392	5.17439	0.178766
43	4.24226	5.15271	0.175918
44	4.53879	5.13876	0.172472
45	4.76982	5.13056	0.168834
46	3.55513	5.09631	0.168602
47	4.15105	5.0762	0.16621
48	4.84591	5.0714	0.162816
49	3.41534	5.03761	0.162963
50	5.02796	5.03741	0.159704
51	5.89427	5.05421	0.157454
52	4.99843	5.05314	0.15443
53	4.00494	5.03336	0.152777
54	7.27916	5.07495	0.155506
55	5.45843	5.08193	0.152835
56	4.86472	5.07805	0.150155
57	4.15586	5.06187	0.148389
58	5.36647	5.06712	0.145924
59	4.06601	5.05015	0.144434
60	4.20049	5.03599	0.142719
61	4.82494	5.03253	0.140421
62	4.12055	5.01782	0.138925
63	4.57236	5.01075	0.136899
64	5.56164	5.01936	0.135031
65	4.66411	5.01389	0.133064
66	4.36204	5.00402	0.131414
67	4.09987	4.99052	0.130143
68	4.41454	4.98205	0.128505
69	4.45925	4.97448	0.126866
70	4.95157	4.97415	0.125054
71	4.17046	4.96283	0.123804
72	3.87464	4.94771	0.123003
73	5.2388	4.9517	0.121383
74	6.14868	4.96788	0.120815
75	3.68811	4.95081	0.120403
76	4.65631	4.94694	0.118882
77	5.06792	4.94851	0.117348
78	4.99587	4.94912	0.115845
79	7.20924	4.97773	0.117858
80	6.80286	5.00054	0.118573
81	5.51855	5.00694	0.117281
82	5.49142	5.01284	0.116
83	4.70097	5.00909	0.114663
84	4.2838	5.00045	0.113623
85	4.42568	4.99369	0.112487
86	5.74197	5.00239	0.111515
87	4.60459	4.99782	0.110327
88	5.66404	5.00539	0.109333
89	5.74326	5.01368	0.108418
90	4.85631	5.01193	0.107227
91	5.21433	5.01416	0.106072
92	5.27098	5.01695	0.104956
93	5.00286	5.0168	0.103828
94	5.33853	5.02022	0.102779
95	5.07307	5.02077	0.101699
96	5.54159	5.0262	0.100784
97	6.7762	5.04424	0.101347
98	4.4164	5.03783	0.100515
99	4.62514	5.03367	0.0995863
100	6.16059	5.04494	0.099226
101	4.70829	5.0416	0.0982996
102	6.88113	5.05964	0.0989764
103	6.64139	5.07499	0.0991996
104	3.9595	5.06427	0.098824
105	6.04943	5.07365	0.0983272
106	5.83198	5.0808	0.0976595
107	4.21673	5.07273	0.0970801
108	3.87911	5.06168	0.0968082
109	3.70061	5.04919	0.096722
110	4.94967	5.04829	0.095847
111	5.59763	5.05323	0.0951112
112	4.52122	5.04848	0.0943805
113	3.79685	5.03741	0.094193
114	5.43988	5.04094	0.0934329
115	3.83037	5.03041	0.0932116
116	3.92485	5.02088	0.092894
117	3.88871	5.0112	0.0926027
118	4.12515	5.0037	0.0921218
119	5.73043	5.0098	0.0915499
120	4.41339	5.00483	0.0909218
121	5.52691	5.00915	0.0902727
122	5.56169	5.01368	0.0896463
