BLOCK	ACTUAL_V	V_AVE	ERROR
1	3.10624	3.10624	0
2	7.08385	5.09504	1.4063
3	5.60241	5.26417	0.947646
4	5.52689	5.32985	0.713007
5	4.74556	5.21299	0.579902
6	5.14874	5.20228	0.483351
7	5.5938	5.25821	0.417524
8	5.09357	5.23763	0.365841
9	4.05895	5.10667	0.347844
10	4.33984	5.02999	0.321401
11	4.95787	5.02343	0.29225
12	7.32608	5.21532	0.324839
13	4.85104	5.1873	0.301058
14	5.98222	5.24408	0.284858
15	4.60518	5.20148	0.269033
16	4.88499	5.1817	0.252944
17	3.57019	5.08691	0.255211
18	4.27847	5.042	0.244952
19	5.1718	5.04883	0.232156
20	4.28142	5.01046	0.223696
21	3.65283	4.94581	0.22219
22	5.80164	4.98471	0.215469
23	5.4217	5.00371	0.206936
24	6.35383	5.05996	0.205818
25	4.4606	5.03599	0.198977
26	4.23432	5.00516	0.193698
27	5.15847	5.01083	0.186608
28	4.38697	4.98855	0.181268
29	4.51493	4.97222	0.175752
30	9.43461	5.12097	0.224169
31	4.44948	5.09931	0.217982
32	4.55969	5.08244	0.211821
33	5.66011	5.09995	0.206124
34	5.15314	5.10151	0.200068
35	5.15874	5.10315	0.194358
36	5.90137	5.12532	0.19022
37	4.08852	5.0973	0.187131
38	6.59902	5.13682	0.186333
39	7.46164	5.19643	0.190852
40	3.87984	5.16351	0.188898
41	4.7418	5.15323	0.184571
42	5.3955	5.159	0.180266
43	5.0265	5.15592	0.1761
44	4.6857	5.14523	0.172422
45	5.63681	5.15615	0.168936
46	5.07853	5.15447	0.165272
47	5.02559	5.15172	0.161778
48	4.71333	5.14259	0.158665
49	5.92329	5.15852	0.156225
50	4.81164	5.15159	0.153255
51	4.66262	5.142	0.150549
52	4.21399	5.12415	0.148708
53	3.88495	5.10077	0.147729
54	3.84387	5.07749	0.146815
55	5.21297	5.07996	0.144167
56	5.17629	5.08168	0.141603
57	3.90794	5.06109	0.140608
58	4.93138	5.05885	0.138201
59	4.44542	5.04845	0.136249
60	5.25677	5.05192	0.134023
61	5.45711	5.05857	0.13199
62	4.68546	5.05255	0.129998
63	5.24949	5.05567	0.127972
64	7.25376	5.09002	0.1305
65	5.79159	5.10081	0.128938
66	3.96252	5.08357	0.128133
67	4.00201	5.06742	0.127233
68	3.50973	5.04452	0.127408
69	4.66528	5.03902	0.12568
70	4.78116	5.03534	0.123938
71	5.87881	5.04722	0.122761
72	4.52209	5.03992	0.121272
73	5.37798	5.04455	0.119699
74	5.13545	5.04578	0.118088
75	4.51807	5.03875	0.116723
76	5.25105	5.04154	0.11522
77	5.87207	5.05233	0.114228
78	5.53458	5.05851	0.112931
79	3.7492	5.04193	0.112711
80	5.61973	5.04916	0.111533
81	4.67788	5.04457	0.11025
82	7.70132	5.07697	0.113566
83	4.95512	5.0755	0.112208
84	4.58091	5.06962	0.111026
85	6.67508	5.0885	0.111315
86	5.50539	5.09335	0.110126
87	3.92158	5.07988	0.109681
88	5.83694	5.08849	0.108771
89	6.42272	5.10348	0.108577
90	2.99367	5.08004	0.109873
91	4.84388	5.07744	0.108696
92	3.72035	5.06269	0.108511
93	5.45518	5.06691	0.107426
94	4.37226	5.05952	0.106537
95	4.94409	5.0583	0.105422
96	4.70787	5.05465	0.104387
97	6.8281	5.07294	0.1049
98	7.1792	5.09443	0.106009
99	5.26158	5.09612	0.104951
100	6.48893	5.11005	0.104822
101	3.9657	5.09872	0.104395
102	3.78881	5.08587	0.104158
103	4.16834	5.07697	0.103527
104	6.32373	5.08895	0.103223
105	5.2352	5.09035	0.10225
106	4.10689	5.08107	0.101705
107	5.52011	5.08517	0.100837
108	3.95977	5.07475	0.100441
109	4.95752	5.07368	0.0995249
110	4.67785	5.07008	0.0986851
111	5.64832	5.07529	0.0979335
112	7.32321	5.09536	0.0990944
113	3.46143	5.0809	0.0992668
114	4.89165	5.07924	0.0984099
115	3.94853	5.06941	0.0980441
116	4.84726	5.06749	0.0972176
117	6.25042	5.0776	0.096911
118	6.00907	5.0855	0.0964107
119	5.75917	5.09116	0.0957666
120	4.06876	5.08264	0.0953467
121	5.24832	5.08401	0.0945686
122	3.8522	5.07391	0.0943309
123	5.07547	5.07392	0.093564
124	4.63727	5.0704	0.0928757
125	6.67737	5.08326	0.0930181
126	4.29767	5.07702	0.0924886
127	5.98083	5.08414	0.0920338
128	3.76808	5.07386	0.0918873
129	4.89392	5.07246	0.0911855
130	3.88444	5.06332	0.0909409
131	4.65258	5.06019	0.0903007
132	4.70829	5.05752	0.089656
133	4.25978	5.05152	0.0891823
134	4.36398	5.04639	0.0886642
135	4.4762	5.04217	0.088108
136	5.71167	5.04709	0.0875976
137	6.68824	5.05907	0.0877734
138	5.90366	5.06519	0.0873505
139	4.21825	5.0591	0.0869343
140	5.26704	5.06058	0.0863261
141	4.91618	5.05956	0.0857199
142	5.38655	5.06186	0.0851472
143	6.05883	5.06883	0.0848367
144	4.381	5.06406	0.0843819
145	5.68563	5.06834	0.0839088
146	4.92466	5.06736	0.0833398
147	5.2755	5.06878	0.0827849
148	4.68377	5.06617	0.0822664
149	3.60472	5.05637	0.0822969
150	3.87403	5.04848	0.0821249
151	3.86268	5.04063	0.0819556
152	5.50784	5.0437	0.081474
153	5.0826	5.04396	0.0809419
154	4.44123	5.04004	0.0805109
155	6.67629	5.0506	0.0806806
156	5.46642	5.05327	0.0802074
157	4.37231	5.04893	0.0798137
158	6.46374	5.05788	0.0798093
159	5.99115	5.06375	0.0795229
160	4.96071	5.06311	0.0790285
161	4.77006	5.06129	0.0785586
162	7.06585	5.07366	0.0790422
163	3.86653	5.06626	0.0789034
164	6.79338	5.07679	0.079122
165	4.7067	5.07455	0.0786742
166	4.09723	5.06866	0.0784203
167	4.20196	5.06347	0.0781222
168	4.31685	5.05902	0.0777835
169	5.12275	5.0594	0.0773242
170	5.14048	5.05988	0.0768708
171	4.87221	5.05878	0.0764291
172	4.86093	5.05763	0.0759934
173	4.91059	5.05678	0.0755589
174	5.04838	5.05673	0.0751247
175	4.4528	5.05328	0.0747746
176	4.47958	5.05002	0.0744208
177	3.98208	5.04399	0.0742445
178	3.65473	5.03618	0.0742365
179	4.86434	5.03522	0.0738279
180	4.82583	5.03406	0.073427
181	4.04428	5.02859	0.0732246
182	4.24973	5.02431	0.0729472
183	4.89265	5.02359	0.0725522
184	5.04589	5.02371	0.072158
185	5.61279	5.0269	0.0718381
186	4.72693	5.02529	0.07147
187	4.53265	5.02265	0.0711364
188	4.69723	5.02092	0.070779
189	3.38424	5.01226	0.0709323
190	4.47439	5.00943	0.0706154
191	5.49704	5.01198	0.0702919
192	4.21789	5.00785	0.0700473
193	6.04873	5.01324	0.0698917
194	4.52922	5.01074	0.069576
195	5.1461	5.01144	0.0692226
196	3.89913	5.00576	0.0691017
197	4.90887	5.00527	0.0687527
198	5.75186	5.00904	0.0685087
199	5.83574	5.0132	0.0682903
200	4.16175	5.00894	0.0680814
201	5.05558	5.00917	0.0677431
202	3.96504	5.004	0.0676047
203	4.04589	4.99928	0.0674362
204	6.1802	5.00507	0.0673536
205	6.22978	5.01105	0.0672895
206	4.69992	5.00954	0.0669798
207	5.09187	5.00993	0.0666574
208	4.11413	5.00563	0.0664759
209	4.41606	5.00281	0.0662177
210	6.27088	5.00884	0.0661771
211	4.54005	5.00662	0.0659008
212	5.47238	5.00882	0.0656265
213	5.94567	5.01322	0.0654656
214	5.36364	5.01486	0.0651802
215	6.46273	5.02159	0.065224
216	3.85892	5.01621	0.0651438
217	4.51056	5.01388	0.0648852
218	5.29573	5.01517	0.0646005
219	4.65682	5.01353	0.0643262
220	5.69984	5.01665	0.0641094
221	4.33672	5.01358	0.0638931
222	5.58987	5.01617	0.063658
223	6.33847	5.0221	0.0636481
224	5.26185	5.02317	0.063373
225	4.82481	5.02229	0.0630974
226	4.84833	5.02152	0.0628229
227	3.62085	5.01535	0.0628485
