BLOCK	ACTUAL_P	P_AVE	ERROR
1	1.54558	1.54558	0
2	1.33187	1.43873	0.0755593
3	1.7318	1.53642	0.0943378
4	1.35419	1.49086	0.0810096
5	1.47608	1.4879	0.0648616
6	1.6279	1.51124	0.0580964
7	1.5406	1.51543	0.0499481
8	1.62458	1.52907	0.0455298
9	1.33964	1.50803	0.0450746
10	1.35922	1.49315	0.0429531
11	1.34008	1.47923	0.0412407
12	1.44006	1.47597	0.0379329
13	1.43003	1.47243	0.0351792
14	1.67288	1.48675	0.0354604
15	1.44946	1.48426	0.0331834
16	1.52997	1.48712	0.0312322
17	1.50702	1.48829	0.0294169
18	1.59015	1.49395	0.0283218
19	1.69626	1.5046	0.0287632
20	1.41547	1.50014	0.027668
21	1.34728	1.49286	0.0272913
22	1.47082	1.49186	0.0260692
23	1.52522	1.49331	0.0249761
24	1.3758	1.48842	0.0244106
25	1.26686	1.47955	0.0249911
26	1.45427	1.47858	0.0240489
27	1.64786	1.48485	0.0239615
28	1.64321	1.49051	0.0237638
29	1.58483	1.49376	0.0231659
30	1.48822	1.49357	0.0223944
31	1.46155	1.49254	0.0216959
32	1.42485	1.49043	0.0211207
33	1.34388	1.48599	0.0209423
34	1.56891	1.48842	0.0204679
35	1.33417	1.48402	0.0203521
36	1.37461	1.48098	0.0200124
37	1.41156	1.4791	0.0195592
38	1.63148	1.48311	0.0194512
39	1.38098	1.48049	0.019128
40	1.42318	1.47906	0.0187033
41	1.52263	1.48012	0.0182773
42	1.45121	1.47943	0.0178551
43	1.44285	1.47858	0.0174601
44	1.47768	1.47856	0.0170633
45	1.35637	1.47585	0.0168988
46	1.43878	1.47504	0.0165507
47	1.3631	1.47266	0.016369
48	1.3457	1.47001	0.0162403
49	1.5631	1.47191	0.0160196
50	1.57615	1.474	0.0158342
51	1.46195	1.47376	0.0155255
52	1.35099	1.4714	0.0154054
53	1.32194	1.46858	0.0153707
54	1.45626	1.46835	0.0150878
55	1.5444	1.46974	0.0148767
56	1.47822	1.46989	0.0146118
57	1.63827	1.47284	0.014651
58	1.44827	1.47242	0.0144045
59	1.43843	1.47184	0.0141719
60	1.39838	1.47062	0.0139885
61	1.51562	1.47136	0.0137786
62	1.37437	1.46979	0.0136449
63	1.43307	1.46921	0.0134407
64	1.50694	1.4698	0.0132436
65	1.52431	1.47064	0.0130664
66	1.42948	1.47001	0.0128833
67	1.61258	1.47214	0.0128656
68	1.62779	1.47443	0.0128784
69	1.42587	1.47373	0.0127109
70	1.55075	1.47483	0.0125769
71	1.47623	1.47485	0.0123998
72	1.36471	1.47332	0.0123215
