#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.997454	0.997454	0
2	0.999956	0.998705	0.000884591
3	0.999998	0.999136	0.000686745
4	1	0.999352	0.000547976
5	0.99533	0.998548	0.000842511
6	0.99994	0.99878	0.000733357
7	1	0.998954	0.000648983
8	0.999996	0.999084	0.000580783
9	0.996902	0.998842	0.000564603
10	1	0.998958	0.000519887
11	0.999996	0.999052	0.000481118
12	0.998752	0.999027	0.000441674
13	1	0.999102	0.000413992
14	1	0.999166	0.00038936
15	1	0.999222	0.000367351
16	1	0.99927	0.000347599
17	1	0.999313	0.000329792
18	0.999988	0.999351	0.000313593
19	0.99997	0.999383	0.000298778
20	0.999986	0.999413	0.000285355
21	1	0.999441	0.00027313
22	0.999912	0.999463	0.000261552
23	0.99984	0.999479	0.000250694
24	0.99999	0.9995	0.00024115
25	0.999958	0.999519	0.000232198
26	1	0.999537	0.000224004
27	1	0.999554	0.000216362
28	1	0.99957	0.000209219
29	0.999524	0.999569	0.000202011
30	0.999982	0.999582	0.000195746
31	0.999998	0.999596	0.00018989
32	0.999992	0.999608	0.000184359
33	0.998814	0.999584	0.000180337
34	0.999962	0.999595	0.000175375
35	1	0.999607	0.000170745
36	0.99997	0.999617	0.0001663
37	0.999998	0.999627	0.000162124
38	1	0.999637	0.000158154
39	1	0.999646	0.000154372
40	1	0.999655	0.000150766
41	0.999998	0.999664	0.00014732
42	0.999884	0.999669	0.000143906
43	0.999926	0.999675	0.000140684
44	0.999998	0.999682	0.000137678
45	1	0.999689	0.0001348
46	0.999792	0.999691	0.000131888
47	0.999998	0.999698	0.000129243
48	1	0.999704	0.000126703
49	0.999938	0.999709	0.000124207
50	0.999998	0.999715	0.000121858
51	1	0.99972	0.000119596
52	1	0.999726	0.000117417
53	0.999998	0.999731	0.000115314
54	0.999692	0.99973	0.000113181
55	0.999994	0.999735	0.000111225
56	1	0.99974	0.000109339
57	1	0.999744	0.000107516
58	0.99957	0.999741	0.000105705
59	1	0.999746	0.000104004
60	1	0.99975	0.000102357
61	0.999928	0.999753	0.00010072
62	0.999988	0.999757	9.91674e-05
63	1	0.99976	9.76685e-05
64	0.99959	0.999758	9.61787e-05
65	0.999986	0.999761	9.47631e-05
66	0.999988	0.999765	9.33895e-05
67	0.999986	0.999768	9.2054e-05
68	0.999998	0.999771	9.07624e-05
69	1	0.999775	8.95074e-05
70	0.998864	0.999762	8.91693e-05
71	0.999916	0.999764	8.79399e-05
72	0.999972	0.999767	8.6766e-05
73	1	0.99977	8.56362e-05
74	1	0.999773	8.45353e-05
75	0.999998	0.999776	8.34613e-05
76	0.999772	0.999776	8.23632e-05
77	1	0.999779	8.13449e-05
78	1	0.999782	8.03513e-05
79	1	0.999785	7.93817e-05
80	0.99984	0.999785	7.83924e-05
81	0.999996	0.999788	7.74678e-05
82	0.999998	0.99979	7.65655e-05
83	0.999962	0.999792	7.56709e-05
84	1	0.999795	7.48104e-05
85	1	0.999797	7.39691e-05
86	0.99997	0.999799	7.31362e-05
87	0.999998	0.999802	7.23312e-05
88	0.999984	0.999804	7.1539e-05
89	1	0.999806	7.07691e-05
90	0.999984	0.999808	7.00105e-05
91	0.99989	0.999809	6.92469e-05
92	0.999998	0.999811	6.85248e-05
93	0.999968	0.999813	6.78088e-05
94	1	0.999815	6.71167e-05
95	0.999996	0.999816	6.64374e-05
96	0.998168	0.999799	6.79282e-05
97	0.99999	0.999801	6.72563e-05
98	0.999996	0.999803	6.65994e-05
99	0.999984	0.999805	6.59517e-05
100	1	0.999807	6.5321e-05
