#BLOCK:	ACTUAL_CV:	CV_AVE:	ERROR:
1	0.0136354	0.0136354	0
2	0.00121824	0.00742682	0.00439013
3	8.70485e-05	0.00498023	0.0035435
4	-3.20731e-14	0.00373517	0.00286803
5	0.0216417	0.00731648	0.00394018
6	0.000956482	0.00625648	0.0034231
7	-3.20731e-14	0.0053627	0.00304853
8	0.000174097	0.00471412	0.00273559
9	0.0135861	0.0056999	0.0026032
10	-3.20731e-14	0.00512991	0.00240447
11	0.000174097	0.00467938	0.00222769
12	0.00641007	0.0048236	0.00204671
13	-3.20731e-14	0.00445256	0.00192261
14	-3.20731e-14	0.00413452	0.0018114
15	-3.20731e-14	0.00385888	0.00171148
16	-3.20731e-14	0.0036177	0.00162142
17	-3.20731e-14	0.0034049	0.00153994
18	0.000348085	0.00323507	0.00146372
19	0.000696005	0.00310144	0.00139277
20	0.000435134	0.00296812	0.0013295
21	-3.20731e-14	0.00282678	0.00127368
22	0.00147834	0.00276549	0.00121726
23	0.00156341	0.00271323	0.00116546
24	0.00034814	0.00261468	0.00112105
25	0.000782782	0.00254141	0.0010786
26	-3.20731e-14	0.00244366	0.00104154
27	-3.20731e-14	0.00235315	0.00100689
28	-3.20731e-14	0.00226911	0.000974428
29	0.00364506	0.00231656	0.000941982
30	0.000696334	0.00226255	0.000912129
31	8.70485e-05	0.00219237	0.000885401
32	0.000348194	0.00213474	0.000859606
33	0.00562754	0.00224059	0.000840048
34	0.000695786	0.00219515	0.000816569
35	-3.20731e-14	0.00213243	0.000795643
36	0.000696006	0.00209253	0.000774542
37	8.70485e-05	0.00203833	0.000755502
38	-3.20731e-14	0.00198469	0.000737522
39	-3.20731e-14	0.0019338	0.000720365
40	-3.20731e-14	0.00188545	0.000703976
41	8.70485e-05	0.00184159	0.000688171
42	0.00121623	0.0018267	0.000671947
43	0.00139163	0.00181658	0.000656397
44	8.70485e-05	0.00177728	0.000642655
45	-3.20731e-14	0.00173778	0.000629586
46	0.00156205	0.00173396	0.000615911
47	8.70485e-05	0.00169892	0.000603802
48	-3.20731e-14	0.00166353	0.00059226
49	0.00104354	0.00165087	0.000580308
50	8.70485e-05	0.0016196	0.000569544
51	-3.20731e-14	0.00158784	0.000559261
52	-3.20731e-14	0.0015573	0.000549339
53	8.70485e-05	0.00152956	0.000539674
54	0.00216888	0.0015414	0.00052981
55	0.000174043	0.00151654	0.00052076
56	-3.20731e-14	0.00148946	0.000512164
57	-3.20731e-14	0.00146333	0.000503845
58	0.00451748	0.00151599	0.000497902
59	-3.20731e-14	0.00149029	0.000490126
60	-3.20731e-14	0.00146545	0.000482586
61	0.00130457	0.00146282	0.000474682
62	0.000348085	0.00144484	0.000467366
63	-3.20731e-14	0.0014219	0.00046051
64	0.00329839	0.00145122	0.000454247
65	0.000435134	0.00143559	0.000447527
66	0.000348085	0.00141911	0.00044105
67	0.000435133	0.00140443	0.000434712
68	8.70485e-05	0.00138505	0.00042875
69	-3.20731e-14	0.00136498	0.000423006
70	0.00893988	0.00147319	0.000430582
71	0.00104293	0.00146713	0.00042456
72	0.000783164	0.00145763	0.00041877
73	-3.20731e-14	0.00143767	0.000413509
74	-3.20731e-14	0.00141824	0.000408377
75	8.70485e-05	0.00140049	0.000403318
76	0.00173569	0.0014049	0.000398035
77	-3.20731e-14	0.00138665	0.000393284
78	-3.20731e-14	0.00136888	0.000388643
79	-3.20731e-14	0.00135155	0.00038411
80	0.00121498	0.00134984	0.000379312
81	0.000174097	0.00133533	0.000374907
82	8.70485e-05	0.0013201	0.000370644
83	0.000957097	0.00131573	0.000366204
84	-3.20731e-14	0.00130007	0.000362179
85	-3.20731e-14	0.00128477	0.000358241
86	0.000434694	0.00127489	0.000354212
87	8.70485e-05	0.00126123	0.000350404
88	0.000522182	0.00125284	0.000346522
89	-3.20731e-14	0.00123876	0.000342915
90	0.000435079	0.00122983	0.000339221
91	0.00165194	0.00123447	0.000335525
92	8.70485e-05	0.001222	0.000332109
93	0.000957261	0.00121915	0.000328551
94	-3.20731e-14	0.00120618	0.000325311
95	0.000174097	0.00119532	0.000322068
96	0.00743734	0.00126034	0.000325211
97	0.00034814	0.00125093	0.000321994
98	0.000174097	0.00123994	0.000318896
99	0.000435079	0.00123181	0.000315778
100	-3.20731e-14	0.0012195	0.00031286
