#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	-8134.51	-8134.51	0
2	-8165.96	-8150.23	11.1197
3	-8166.63	-8155.7	8.65315
4	-8166.67	-8158.44	6.91049
5	-8106.3	-8148.01	10.8433
6	-8165.75	-8150.97	9.43027
7	-8166.67	-8153.21	8.34547
8	-8166.6	-8154.89	7.46824
9	-8126.93	-8151.78	7.25573
10	-8166.67	-8153.27	6.68116
11	-8166.6	-8154.48	6.18276
12	-8150.02	-8154.11	5.67867
13	-8166.67	-8155.07	5.32338
14	-8166.67	-8155.9	5.00712
15	-8166.67	-8156.62	4.72446
16	-8166.67	-8157.25	4.47071
17	-8166.67	-8157.8	4.24192
18	-8166.47	-8158.28	4.03352
19	-8166.19	-8158.7	3.84263
20	-8166.44	-8159.09	3.66994
21	-8166.67	-8159.45	3.51289
22	-8165.29	-8159.71	3.36323
23	-8164.31	-8159.91	3.22294
24	-8166.5	-8160.19	3.10033
25	-8166	-8160.42	2.98502
26	-8166.67	-8160.66	2.87986
27	-8166.67	-8160.88	2.78178
28	-8166.67	-8161.09	2.69009
29	-8159.75	-8161.04	2.59772
30	-8166.37	-8161.22	2.5172
31	-8166.63	-8161.4	2.44205
32	-8166.54	-8161.56	2.37101
33	-8151.54	-8161.25	2.31851
34	-8166.07	-8161.39	2.25464
35	-8166.67	-8161.55	2.19525
36	-8166.19	-8161.67	2.13806
37	-8166.63	-8161.81	2.08447
38	-8166.67	-8161.94	2.03353
39	-8166.67	-8162.06	1.985
40	-8166.67	-8162.17	1.93872
41	-8166.63	-8162.28	1.89449
42	-8164.93	-8162.34	1.85043
43	-8165.5	-8162.42	1.80885
44	-8166.63	-8162.51	1.77028
45	-8166.67	-8162.61	1.73334
46	-8163.66	-8162.63	1.69581
47	-8166.63	-8162.71	1.66187
48	-8166.67	-8162.8	1.62929
49	-8165.7	-8162.86	1.59711
50	-8166.63	-8162.93	1.56695
51	-8166.67	-8163	1.53794
52	-8166.67	-8163.07	1.50998
53	-8166.63	-8163.14	1.48298
54	-8162.39	-8163.13	1.45558
55	-8166.57	-8163.19	1.43046
56	-8166.67	-8163.25	1.40626
57	-8166.67	-8163.31	1.38287
58	-8160.2	-8163.26	1.36007
59	-8166.67	-8163.32	1.33824
60	-8166.67	-8163.37	1.3171
61	-8165.54	-8163.41	1.29599
62	-8166.47	-8163.46	1.27603
63	-8166.67	-8163.51	1.25679
64	-8160.88	-8163.47	1.23782
65	-8166.44	-8163.51	1.21962
66	-8166.47	-8163.56	1.20197
67	-8166.44	-8163.6	1.1848
68	-8166.63	-8163.65	1.16821
69	-8166.67	-8163.69	1.1521
70	-8150.28	-8163.5	1.15146
71	-8165.38	-8163.52	1.13555
72	-8166.22	-8163.56	1.12039
73	-8166.67	-8163.6	1.10585
74	-8166.67	-8163.65	1.09168
75	-8166.63	-8163.69	1.07785
76	-8163.37	-8163.68	1.06368
77	-8166.67	-8163.72	1.05057
78	-8166.67	-8163.76	1.03778
79	-8166.67	-8163.79	1.02529
80	-8164.34	-8163.8	1.0125
81	-8166.6	-8163.84	1.00059
82	-8166.63	-8163.87	0.98897
83	-8166.06	-8163.9	0.977407
84	-8166.67	-8163.93	0.966327
85	-8166.67	-8163.96	0.955495
86	-8166.2	-8163.99	0.944739
87	-8166.63	-8164.02	0.934369
88	-8166.41	-8164.05	0.924146
89	-8166.67	-8164.07	0.914232
90	-8166.41	-8164.1	0.904442
91	-8164.96	-8164.11	0.894553
92	-8166.63	-8164.14	0.88525
93	-8166.15	-8164.16	0.875996
94	-8166.67	-8164.19	0.867083
95	-8166.6	-8164.21	0.858328
96	-8144.75	-8164.01	0.872994
97	-8166.5	-8164.03	0.864374
98	-8166.6	-8164.06	0.85595
99	-8166.41	-8164.08	0.847633
100	-8166.67	-8164.11	0.83955
