#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-1.0193	-1.0193	0
2	-1.01994	-1.01962	0.00022841
3	-1.02	-1.01975	0.000183444
4	-1.02	-1.01981	0.000148215
5	-1.01891	-1.01963	0.0002003
6	-1.01995	-1.01968	0.000174141
7	-1.02	-1.01973	0.000155043
8	-1.01999	-1.01976	0.000139122
9	-1.01931	-1.01971	0.000132387
10	-1.02	-1.01974	0.000122261
11	-1.01999	-1.01976	0.000113272
12	-1.01968	-1.01976	0.000104048
13	-1.02	-1.01977	9.77239e-05
14	-1.02	-1.01979	9.20597e-05
15	-1.02	-1.0198	8.6973e-05
16	-1.02	-1.01982	8.23892e-05
17	-1.02	-1.01983	7.82436e-05
18	-1.01998	-1.01984	7.43757e-05
19	-1.01997	-1.01984	7.07803e-05
20	-1.01998	-1.01985	6.75694e-05
21	-1.02	-1.01986	6.47279e-05
22	-1.01993	-1.01986	6.18708e-05
23	-1.01992	-1.01986	5.92439e-05
24	-1.01998	-1.01987	5.69877e-05
25	-1.01996	-1.01987	5.48342e-05
26	-1.02	-1.01988	5.29453e-05
27	-1.02	-1.01988	5.11798e-05
28	-1.02	-1.01989	4.95263e-05
29	-1.01982	-1.01988	4.78667e-05
30	-1.01997	-1.01989	4.63529e-05
31	-1.02	-1.01989	4.49921e-05
32	-1.01998	-1.01989	4.36816e-05
33	-1.01972	-1.01989	4.26846e-05
34	-1.01997	-1.01989	4.14934e-05
35	-1.02	-1.01989	4.04269e-05
36	-1.01997	-1.0199	3.93567e-05
37	-1.02	-1.0199	3.83872e-05
38	-1.02	-1.0199	3.74711e-05
39	-1.02	-1.0199	3.6597e-05
40	-1.02	-1.01991	3.57622e-05
41	-1.02	-1.01991	3.49579e-05
42	-1.01994	-1.01991	3.41349e-05
43	-1.01993	-1.01991	3.33464e-05
44	-1.02	-1.01991	3.26469e-05
45	-1.02	-1.01991	3.19812e-05
46	-1.01992	-1.01991	3.12868e-05
47	-1.02	-1.01992	3.06705e-05
48	-1.02	-1.01992	3.00825e-05
49	-1.01995	-1.01992	2.94765e-05
50	-1.02	-1.01992	2.89287e-05
51	-1.02	-1.01992	2.8405e-05
52	-1.02	-1.01992	2.78996e-05
53	-1.02	-1.01992	2.74079e-05
54	-1.01989	-1.01992	2.69059e-05
55	-1.01999	-1.01992	2.64458e-05
56	-1.02	-1.01993	2.60081e-05
57	-1.02	-1.01993	2.55845e-05
58	-1.01978	-1.01992	2.52628e-05
59	-1.02	-1.01993	2.4867e-05
60	-1.02	-1.01993	2.44833e-05
61	-1.01994	-1.01993	2.40827e-05
62	-1.01998	-1.01993	2.37115e-05
63	-1.02	-1.01993	2.33626e-05
64	-1.01984	-1.01993	2.30393e-05
65	-1.01998	-1.01993	2.26987e-05
66	-1.01998	-1.01993	2.23702e-05
67	-1.01998	-1.01993	2.20488e-05
68	-1.02	-1.01993	2.17458e-05
69	-1.02	-1.01993	2.14535e-05
70	-1.01957	-1.01993	2.17779e-05
71	-1.01995	-1.01993	2.14736e-05
72	-1.01996	-1.01993	2.11813e-05
73	-1.02	-1.01993	2.09142e-05
74	-1.02	-1.01993	2.06537e-05
75	-1.02	-1.01993	2.03972e-05
76	-1.01992	-1.01993	2.01298e-05
77	-1.02	-1.01993	1.98887e-05
78	-1.02	-1.01993	1.96532e-05
79	-1.02	-1.01993	1.94231e-05
80	-1.01994	-1.01993	1.91806e-05
81	-1.01999	-1.01993	1.89575e-05
82	-1.02	-1.01993	1.87414e-05
83	-1.01996	-1.01993	1.85172e-05
84	-1.02	-1.01994	1.8313e-05
85	-1.02	-1.01994	1.81132e-05
86	-1.01998	-1.01994	1.79095e-05
87	-1.02	-1.01994	1.77165e-05
88	-1.01998	-1.01994	1.75204e-05
89	-1.02	-1.01994	1.73374e-05
90	-1.01998	-1.01994	1.71507e-05
91	-1.01992	-1.01994	1.69633e-05
92	-1.02	-1.01994	1.67903e-05
93	-1.01996	-1.01994	1.66106e-05
94	-1.02	-1.01994	1.64462e-05
95	-1.01999	-1.01994	1.6282e-05
96	-1.01962	-1.01994	1.64534e-05
97	-1.01998	-1.01994	1.62907e-05
98	-1.01999	-1.01994	1.61337e-05
99	-1.01998	-1.01994	1.59761e-05
100	-1.02	-1.01994	1.5828e-05
