TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3	100	-3.20731e-14	0.00108314	0.000287104
0.35	100	0.00242655	0.00519661	0.000750799
0.40	100	0.0384053	0.0224875	0.00149306
0.45	100	0.0568269	0.0535251	0.00182955
0.50	100	0.144297	0.112816	0.0023868
0.55	100	0.172915	0.186719	0.00235218
0.60	100	0.253019	0.259425	0.00233257
0.65	100	0.345873	0.324115	0.00183389
0.70	100	0.373395	0.369995	0.00139504
0.75	100	0.39914	0.397287	0.00100596
0.80	100	0.410527	0.41245	0.000719822
0.85	100	0.421139	0.420028	0.00064649
0.90	100	0.420949	0.420082	0.000504822
0.95	100	0.415195	0.415639	0.000405851
1.00	100	0.412991	0.408387	0.000332091
1.05	100	0.401831	0.398842	0.000296401
1.10	100	0.389165	0.388057	0.000236777
1.15	100	0.37694	0.376074	0.000191755
1.20	100	0.363662	0.363482	0.00017761
1.25	100	0.351745	0.350583	0.000156693
1.30	100	0.33802	0.337565	0.000128768
1.35	100	0.323977	0.324672	0.000113712
1.40	100	0.311954	0.312036	9.14024e-05
1.45	100	0.299425	0.299703	8.28921e-05
1.50	100	0.287123	0.287815	7.25723e-05
1.55	100	0.275968	0.276292	6.38211e-05
1.60	100	0.265161	0.265245	6.00635e-05
1.65	100	0.254632	0.254646	5.17995e-05
1.70	100	0.244708	0.244512	4.55805e-05
1.75	100	0.235219	0.234845	4.21296e-05
1.80	100	0.225984	0.225594	3.89412e-05
1.85	100	0.216994	0.216794	3.64969e-05
1.90	100	0.208596	0.208405	3.25351e-05
1.95	100	0.200519	0.200406	3.06538e-05
2.00	100	0.192998	0.192803	2.94928e-05
2.05	100	0.185661	0.185584	2.7944e-05
2.10	100	0.178806	0.178691	2.51064e-05
2.15	100	0.172155	0.172134	2.33684e-05
2.20	100	0.165915	0.165899	2.29848e-05
2.25	100	0.159896	0.159961	2.10209e-05
2.30	100	0.154182	0.154317	1.91689e-05
2.35	100	0.14876	0.148937	1.8613e-05
2.40	100	0.143564	0.143798	1.76719e-05
2.45	100	0.138674	0.13891	1.69346e-05
2.50	100	0.13406	0.134248	1.59092e-05
2.55	100	0.129661	0.129797	1.52798e-05
2.60	100	0.125445	0.125553	1.43963e-05
2.65	100	0.121412	0.121495	1.35043e-05
2.70	100	0.117576	0.117622	1.26084e-05
2.75	100	0.113907	0.113924	1.20378e-05
2.80	100	0.110376	0.110387	1.16146e-05
2.85	100	0.106988	0.107	1.09368e-05
2.90	100	0.103757	0.103761	1.03863e-05
2.95	100	0.100655	0.100658	9.77609e-06
3.00	100	0.0976933	0.0976876	9.34293e-06
