TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3	100	1	0.999832	6.09131e-05
0.35	100	0.999742	0.998571	0.000395446
0.40	100	0.987452	0.976983	0.00746876
0.45	100	0.976224	0.947351	0.00850678
0.50	100	0.769674	0.882936	0.00959449
0.55	100	0.761908	0.781623	0.00749971
0.60	100	0.61856	0.662113	0.0075861
0.65	100	0.47615	0.535622	0.00686761
0.70	100	0.481034	0.435233	0.0053108
0.75	100	0.38424	0.34699	0.00456934
0.80	100	0.298574	0.284373	0.00377094
0.85	100	0.251408	0.234234	0.00313926
0.90	100	0.195608	0.19692	0.00286856
0.95	100	0.172952	0.166633	0.00230941
1.00	100	0.162242	0.142784	0.0019793
1.05	100	0.132256	0.125219	0.00186123
1.10	100	0.106446	0.109293	0.00165856
1.15	100	0.095216	0.0968094	0.00136962
1.20	100	0.084222	0.0853615	0.00122024
1.25	100	0.075962	0.0774505	0.00109184
1.30	100	0.07379	0.0699194	0.000990631
1.35	100	0.07158	0.0638293	0.000934934
1.40	100	0.066898	0.0583648	0.000842134
1.45	100	0.064508	0.0532062	0.000747963
1.50	100	0.066412	0.0492201	0.000699751
1.55	100	0.061754	0.045465	0.000653367
1.60	100	0.058198	0.0425274	0.00062394
1.65	100	0.053352	0.0398348	0.000609879
1.70	100	0.046708	0.0372579	0.000592606
1.75	100	0.045458	0.034952	0.000570968
1.80	100	0.042828	0.032848	0.000541348
1.85	100	0.038938	0.0309635	0.000497355
1.90	100	0.037984	0.0292644	0.000474461
1.95	100	0.035406	0.0276046	0.000448098
2.00	100	0.03588	0.0261756	0.000428143
2.05	100	0.034904	0.024677	0.000404026
2.10	100	0.032034	0.0234742	0.000391379
2.15	100	0.030462	0.0223823	0.000396681
2.20	100	0.029424	0.0214761	0.000374626
2.25	100	0.02765	0.020607	0.000355237
2.30	100	0.027878	0.0196216	0.0003543
2.35	100	0.026124	0.0188293	0.000350111
2.40	100	0.025196	0.0182016	0.000331571
2.45	100	0.0236	0.0175664	0.000319599
2.50	100	0.021826	0.0168489	0.000325892
2.55	100	0.020306	0.0163682	0.000318486
2.60	100	0.019774	0.0159052	0.000313159
2.65	100	0.01942	0.0154525	0.000315077
2.70	100	0.019674	0.0148678	0.000303192
2.75	100	0.01919	0.0143911	0.00029527
2.80	100	0.019216	0.0138833	0.000289344
2.85	100	0.01869	0.013487	0.000283354
2.90	100	0.017986	0.0131033	0.000278069
2.95	100	0.01816	0.0127011	0.000281007
3.00	100	0.0175	0.0123671	0.000277601
